onset	duration	block	trial	phase	trialtype	category	pairnum	accuracy	test_RT
12.509753	4.00785815000001	1	1	study	AB	Face	6	1	NA
18.518697	4.00124815000004	1	2	study	AB	Face	2	1	NA
28.521419	4.00236214999994	1	3	study	AB	Face	1	0	NA
34.525237	4.00083615000007	1	4	study	AB	Face	4	0	NA
44.527664	4.00223715000005	1	5	study	AB	Face	3	0	NA
50.531246	4.00098814999992	1	6	study	AB	Face	8	0	NA
60.533385	4.00268414999988	1	7	study	AB	Face	5	1	NA
66.537734	4.00062514999992	1	8	study	AB	Face	7	0	NA
72.539456	4.00123615000001	1	9	study	BC	Face	5	1	NA
82.542022	4.00251214999997	1	10	study	BC	Face	6	1	NA
88.545734	4.0010921500001	1	11	study	BC	Face	8	0	NA
100.547842	4.00360015000001	1	12	study	BC	Face	1	0	NA
106.55264	4.00109714999994	1	13	study	BC	Face	4	0	NA
112.555189	4.00083814999998	1	14	study	BC	Face	7	0	NA
120.557631	4.00148114999995	1	15	study	BC	Face	3	0	NA
128.560634	4.00155914999994	1	16	study	BC	Face	2	1	NA
144.750516	4.01788515000005	1	1	test	AC	Face	4	0	2367.25784776
150.770972	4.01643714999995	1	2	test	AC	Face	8	0	2538.39284776
160.789011	4.01889415000001	1	3	test	AC	Face	1	0	2189.86984776
168.809366	4.01828915	1	4	test	AC	Face	5	1	1549.65384776
174.829455	4.01717014999999	1	5	test	AC	Face	7	0	2294.75984776
182.848227	4.01815715000004	1	6	test	AC	Face	2	1	1765.10884776
188.867937	4.01742514999994	1	7	test	AC	Face	6	1	1867.98084776
200.886804	4.01985115	1	8	test	AC	Face	3	0	2154.82784776
208.908352	4.01804915000004	1	9	test	BC	Face	6	1	2289.13984776
220.927529	4.02016315000001	1	10	test	AB	Face	5	1	1475.34684776
228.949476	4.01796714999995	1	11	test	BC	Face	7	1	2180.27784776
236.968714	4.01844315000009	1	12	test	BC	Face	1	1	1059.69884776
242.98868	4.01747115000006	1	13	test	BC	Face	3	1	3672.77184776
251.007869	4.01803414999991	1	14	test	AB	Face	6	1	2433.29784776
263.027427	4.01976614999992	1	15	test	BC	Face	8	1	2577.63284776
269.049036	4.01711714999989	1	16	test	AB	Face	1	0	3183.56584776
277.067676	4.01823115000012	1	17	test	AB	Face	2	1	1088.29484776
283.087545	4.01731814999989	1	18	test	AB	Face	3	1	2867.38084776
295.106009	4.02014414999989	1	19	test	AB	Face	7	1	1995.70684776
301.127545	4.01758615000005	1	20	test	AB	Face	4	1	3374.59784776
309.1465	4.01840614999994	1	21	test	AB	Face	8	0	2600.79784776
319.166184	4.01922015000007	1	22	test	BC	Face	2	1	2202.97084776
331.187128	4.01957614999986	1	23	test	BC	Face	4	1	1529.18084776
337.208532	4.01712215000007	1	24	test	BC	Face	5	1	1635.17984776
18.600559	4.0049108981	2	1	study	AB	Scene	7	1	NA
30.607269	4.0028218981	2	2	study	AB	Scene	1	1	NA
36.611234	4.0011528981	2	3	study	AB	Scene	4	1	NA
44.6139	4.00156889810001	2	4	study	AB	Scene	8	1	NA
54.616741	4.0025598981	2	5	study	AB	Scene	5	1	NA
60.620607	4.000992898	2	6	study	AB	Scene	6	1	NA
68.623371	4.001308898	2	7	study	AB	Scene	3	1	NA
80.626057	4.003243898	2	8	study	AB	Scene	2	1	NA
86.630818	4.000784898	2	9	study	BC	Scene	3	1	NA
96.63263	4.00283589800001	2	10	study	BC	Scene	5	1	NA
102.636582	4.001170898	2	11	study	BC	Scene	6	1	NA
110.639217	4.00162089800001	2	12	study	BC	Scene	4	1	NA
116.642439	4.00073289800002	2	13	study	BC	Scene	1	1	NA
124.64477	4.00144589800001	2	14	study	BC	Scene	8	1	NA
130.647811	4.00074289799998	2	15	study	BC	Scene	7	1	NA
138.649656	4.00197989799999	2	16	study	BC	Scene	2	1	NA
154.840472	4.01737689800002	2	1	test	AC	Scene	8	1	1174.4991019
166.859281	4.01985089800003	2	2	test	AC	Scene	5	1	1649.6361019
174.881015	4.01787389799999	2	3	test	AC	Scene	7	1	1406.6121019
180.900498	4.01738289799998	2	4	test	AC	Scene	1	1	1776.6501019
186.919042	4.01780289800002	2	5	test	AC	Scene	4	1	1232.0601019
194.938343	4.01824689800001	2	6	test	AC	Scene	6	1	1697.2511019
200.957963	4.017628898	2	7	test	AC	Scene	2	1	1532.7351019
206.976707	4.01784389800002	2	8	test	AC	Scene	3	1	1562.6431019
216.996143	4.01895889799998	2	9	test	BC	Scene	8	1	2324.7511019
223.01676	4.01732689799997	2	10	test	AB	Scene	5	1	1149.6021019
231.035451	4.01835189799999	2	11	test	BC	Scene	6	1	1766.9771019
237.054929	4.01787189800001	2	12	test	BC	Scene	1	1	1456.6241019
245.074139	4.01841189800002	2	13	test	AB	Scene	2	1	1350.0251019
255.093682	4.01940589799997	2	14	test	AB	Scene	8	1	1420.9741019
265.114418	4.01917289799999	2	15	test	BC	Scene	3	1	1613.2401019
271.135045	4.01750789800001	2	16	test	AB	Scene	7	1	1759.1961019
283.153815	4.02002589799999	2	17	test	BC	Scene	2	1	1339.8431019
289.175054	4.017785898	2	18	test	AB	Scene	3	1	1169.6791019
299.194532	4.01880989799998	2	19	test	AB	Scene	1	1	1202.2301019
305.214446	4.017894898	2	20	test	BC	Scene	4	1	1250.9741019
317.233684	4.01995789799996	2	21	test	AB	Scene	6	1	1887.5361019
323.255365	4.017247898	2	22	test	BC	Scene	5	1	2622.4481019
331.274565	4.01780089799996	2	23	test	BC	Scene	7	1	1166.8991019
337.293794	4.01754989799997	2	24	test	AB	Scene	4	1	1476.3791019
12.525505	4.0048581731	3	1	study	AB	Face	4	0	NA
18.531839	4.0008571731	3	2	study	AB	Face	5	1	NA
30.533936	4.0033451731	3	3	study	AB	Face	2	1	NA
36.538884	4.0007251731	3	4	study	AB	Face	6	1	NA
44.541211	4.001484173	3	5	study	AB	Face	1	1	NA
52.544098	4.001643173	3	6	study	AB	Face	3	1	NA
