onset	duration	trial	category
12	4000	1	Face
16	4000	2	Scene
20	4000	3	Scene
24	4000	4	Face
32	4000	5	Object
38	4000	6	Face
42	4000	7	Scene
48	4000	8	Scene
54	4000	9	Object
58	4000	10	Object
62	4000	11	Face
66	4000	12	Object
70	4000	13	Object
74	4000	14	Scene
78	4000	15	Object
82	4000	16	Face
90	4000	17	Scene
96	4000	18	Face
100	4000	19	Face
104	4000	20	Object
112	4000	21	Scene
116	4000	22	Face
124	4000	23	Face
128	4000	24	Scene
136	4000	25	Face
140	4000	26	Object
144	4000	27	Object
148	4000	28	Face
152	4000	29	Scene
158	4000	30	Scene
164	4000	31	Object
170	4000	32	Face
186	4000	33	Scene
190	4000	34	Object
194	4000	35	Scene
200	4000	36	Object
204	4000	37	Scene
208	4000	38	Face
214	4000	39	Scene
220	4000	40	Face
224	4000	41	Face
228	4000	42	Face
232	4000	43	Scene
240	4000	44	Scene
244	4000	45	Object
248	4000	46	Face
252	4000	47	Face
258	4000	48	Scene
262	4000	49	Face
266	4000	50	Object
274	4000	51	Scene
278	4000	52	Object
284	4000	53	Face
288	4000	54	Object
292	4000	55	Scene
296	4000	56	Scene
300	4000	57	Face
304	4000	58	Face
310	4000	59	Object
314	4000	60	Scene
330	4000	61	Scene
336	4000	62	Scene
342	4000	63	Scene
346	4000	64	Scene
350	4000	65	Object
354	4000	66	Object
364	4000	67	Scene
370	4000	68	Face
378	4000	69	Object
386	4000	70	Face
390	4000	71	Face
394	4000	72	Scene
398	4000	73	Object
402	4000	74	Face
406	4000	75	Object
410	4000	76	Object
414	4000	77	Object
418	4000	78	Scene
426	4000	79	Scene
430	4000	80	Scene
436	4000	81	Object
440	4000	82	Face
446	4000	83	Object
450	4000	84	Scene
454	4000	85	Object
458	4000	86	Object
462	4000	87	Face
470	4000	88	Face
474	4000	89	Face
478	4000	90	Scene
486	4000	91	Object
502	4000	92	Object
510	4000	93	Face
514	4000	94	Scene
518	4000	95	Face
524	4000	96	Face
528	4000	97	Scene
532	4000	98	Object
536	4000	99	Object
542	4000	100	Scene
546	4000	101	Object
552	4000	102	Object
556	4000	103	Face
562	4000	104	Face
566	4000	105	Scene
572	4000	106	Object
578	4000	107	Object
582	4000	108	Object
588	4000	109	Scene
594	4000	110	Face
600	4000	111	Object
608	4000	112	Object
612	4000	113	Face
616	4000	114	Face
624	4000	115	Scene
628	4000	116	Face
632	4000	117	Scene
636	4000	118	Face
640	4000	119	Object
644	4000	120	Scene
