"Participant"	"ExperimentPhase"	"Category"	"TestType"	"PairType"	"Accuracy"	"Hemisphere"	"Area"	"ROIGroup"	"ROISize"	"Beta"
"sub-1015"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Ant Hipp Head"	"HC"	73	6.49622232876712
"sub-1015"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"CA1"	"HC"	124	-6.5041975
"sub-1015"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Sub"	"HC"	118	-0.955946754237288
"sub-1015"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"CA23DG"	"HC"	233	-7.46649991845494
"sub-1015"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Hipp Tail"	"HC"	52	-2.09239744230769
"sub-1015"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"PHC"	"MTL"	418	-0.776784014354067
"sub-1015"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"alERC"	"MTL"	163	1.95027313496932
"sub-1015"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"PRC"	"MTL"	378	2.20110900793651
"sub-1015"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"pmERC"	"MTL"	107	-1.65252575700935
"sub-1015"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"CA1"	"HC"	119	-2.7749387394958
"sub-1015"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Hipp Tail"	"HC"	74	-1.37315406756757
"sub-1015"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Sub"	"HC"	103	-1.5170822815534
"sub-1015"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"CA23DG"	"HC"	165	-6.81070021212121
"sub-1015"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"PRC"	"MTL"	578	2.89290795155709
"sub-1015"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"alERC"	"MTL"	133	-0.613552624060151
"sub-1015"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"PHC"	"MTL"	495	-3.57976484444444
