onset	duration	block	trial	phase	trialtype	category	pairnum	accuracy	test_RT
12.50899	4.00191451400005	1	1	study	AB	Face	6	1	NA
18.51224	4.00096151399995	1	2	study	AB	Face	2	1	NA
28.514995	4.00207351400004	1	3	study	AB	Face	1	0	NA
34.518079	4.00128151400006	1	4	study	AB	Face	4	1	NA
44.520587	4.00260751399997	1	5	study	AB	Face	3	0	NA
50.524737	4.00075451399999	1	6	study	AB	Face	8	0	NA
60.526595	4.00277051399995	1	7	study	AB	Face	5	1	NA
66.530727	4.00092351399998	1	8	study	AB	Face	7	1	NA
72.533078	4.00087051400005	1	9	study	BC	Face	5	1	NA
82.535486	4.00233051399994	1	10	study	BC	Face	6	1	NA
88.539453	4.000658514	1	11	study	BC	Face	8	0	NA
100.541837	4.00289551400003	1	12	study	BC	Face	1	0	NA
106.545984	4.00104551400006	1	13	study	BC	Face	4	1	NA
112.548661	4.00070251399998	1	14	study	BC	Face	7	1	NA
120.551101	4.00130751400001	1	15	study	BC	Face	3	0	NA
128.554025	4.001461514	1	16	study	BC	Face	2	1	NA
144.744025	4.01771051400006	1	1	test	AC	Face	4	1	2625.86748606
150.763081	4.01761251400004	1	2	test	AC	Face	8	0	2536.40548606
160.782143	4.01909451400003	1	3	test	AC	Face	1	0	2317.78848606
168.8025	4.01848951400002	1	4	test	AC	Face	5	1	2939.02548606
174.822745	4.017202514	1	5	test	AC	Face	7	1	1719.93148606
182.841325	4.01837051400001	1	6	test	AC	Face	2	1	2836.57048606
188.861176	4.01751751400004	1	7	test	AC	Face	6	1	2046.87448606
200.880402	4.01954751399998	1	8	test	AC	Face	3	0	1609.32148606
208.901479	4.01823651000002	1	9	test	BC	Face	6	1	1484.53648606
220.92124	4.01975150999997	1	10	test	AB	Face	5	1	1787.86948606
228.942207	4.01852851000003	1	11	test	BC	Face	7	1	1643.83048606
236.962016	4.01847550999996	1	12	test	BC	Face	1	1	1298.45048606
242.981795	4.01769351000004	1	13	test	BC	Face	3	1	1536.71648606
251.000638	4.01858650999996	1	14	test	AB	Face	6	1	1092.72248606
263.02039	4.02010850999993	1	15	test	BC	Face	8	1	1293.36348606
269.042245	4.01724151000008	1	16	test	AB	Face	1	1	1991.43648606
277.061071	4.01817350999999	1	17	test	AB	Face	2	1	1553.11448606
283.080681	4.0175385100001	1	18	test	AB	Face	3	1	957.370486063
295.099434	4.02007150999992	1	19	test	AB	Face	7	1	1254.66348606
301.120843	4.01764451000001	1	20	test	AB	Face	4	1	1568.17548606
309.139671	4.01856750999996	1	21	test	AB	Face	8	0	1625.62048606
319.159316	4.01942851	1	22	test	BC	Face	2	1	1597.10948606
331.180068	4.01996651	1	23	test	BC	Face	4	1	1754.52248606
337.201289	4.01774350999994	1	24	test	BC	Face	5	1	1400.85648606
18.534463	4.0052193948	2	1	study	AB	Scene	7	0	NA
30.541019	4.0032943948	2	2	study	AB	Scene	1	1	NA
36.545765	4.000832395	2	3	study	AB	Scene	4	1	NA
44.548033	4.001648395	2	4	study	AB	Scene	8	1	NA
54.551284	4.00222839500001	2	5	study	AB	Scene	5	1	NA
60.554865	4.000979395	2	6	study	AB	Scene	6	0	NA
68.557419	4.001509395	2	7	study	AB	Scene	3	1	NA
80.560467	4.00306839500001	2	8	study	AB	Scene	2	1	NA
86.565025	4.00082039500002	2	9	study	BC	Scene	3	1	NA
96.567175	4.00250439500001	2	10	study	BC	Scene	5	1	NA
102.571365	4.000652395	2	11	study	BC	Scene	6	0	NA
110.573318	4.00177639500002	2	12	study	BC	Scene	4	1	NA
116.576707	4.00068539500001	2	13	study	BC	Scene	1	1	NA
124.57854	4.00194139500002	2	14	study	BC	Scene	8	1	NA
130.581776	4.00098539500001	2	15	study	BC	Scene	7	0	NA
138.584048	4.001803395	2	16	study	BC	Scene	2	1	NA
154.791201	4.01756739500002	2	1	test	AC	Scene	8	1	1840.31560518
166.810297	4.01975839500001	2	2	test	AC	Scene	5	1	1912.35560518
174.831211	4.01859539500001	2	3	test	AC	Scene	7	0	1971.86960518
180.851049	4.01771739500001	2	4	test	AC	Scene	1	1	3416.41160518
186.870077	4.01768639500003	2	5	test	AC	Scene	4	1	1850.54460518
194.889426	4.018093395	2	6	test	AC	Scene	6	0	1391.22460518
200.908908	4.017569395	2	7	test	AC	Scene	2	1	1220.93060518
206.928018	4.017468395	2	8	test	AC	Scene	3	1	1423.72960518
216.946922	4.01909039500004	2	9	test	BC	Scene	8	1	1110.52360518
222.967334	4.01765139500002	2	10	test	AB	Scene	5	1	1512.78560518
