"Participant"	"ExperimentPhase"	"Category"	"TestType"	"PairType"	"Accuracy"	"Hemisphere"	"Area"	"ROIGroup"	"ROISize"	"Beta"
"sub-1033"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Ant Hipp Head"	"HC"	42	-1.48281304761905
"sub-1033"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"CA1"	"HC"	134	0.600902626865672
"sub-1033"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Sub"	"HC"	82	0.188677146341463
"sub-1033"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"CA23DG"	"HC"	165	1.9651986
"sub-1033"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Hipp Tail"	"HC"	94	-3.00820681914894
"sub-1033"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"PHC"	"MTL"	641	7.58264118408736
"sub-1033"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"alERC"	"MTL"	144	1.94187240972222
"sub-1033"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"PRC"	"MTL"	850	3.21868449882353
"sub-1033"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"pmERC"	"MTL"	77	7.79994075324675
"sub-1033"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"CA1"	"HC"	117	2.74156917948718
"sub-1033"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Hipp Tail"	"HC"	85	-5.48929117647059
"sub-1033"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Sub"	"HC"	85	1.03371514117647
"sub-1033"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"CA23DG"	"HC"	178	0.266844258426966
"sub-1033"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"PRC"	"MTL"	876	3.96373221803653
"sub-1033"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"alERC"	"MTL"	154	4.67483448051948
"sub-1033"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"PHC"	"MTL"	623	3.99641539807384
"sub-1033"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"pmERC"	"MTL"	70	6.38738011428571
"sub-1033"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Ant Hipp Head"	"HC"	49	7.37735267346939
"sub-1033"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"FFA"	"LocCat"	155	61.9489315806452
"sub-1033"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"FFA"	"LocCat"	77	30.5922004935065
"sub-1033"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"Ant Hipp Head"	"HC"	42	7.87442630952381
