"Participant"	"ExperimentPhase"	"Category"	"Hemisphere"	"Area"	"ROISize"	"Beta"
"sub-1037"	"localiser"	"face"	"Left"	"Ant Hipp Head"	62	1.1306400483871
"sub-1037"	"localiser"	"face"	"Left"	"CA1"	120	4.712862875
"sub-1037"	"localiser"	"face"	"Left"	"CA23DG"	194	10.1196530618557
"sub-1037"	"localiser"	"face"	"Left"	"Hipp Tail"	47	7.7553174893617
"sub-1037"	"localiser"	"face"	"Left"	"PHC"	430	0.3554896
"sub-1037"	"localiser"	"face"	"Left"	"PRC"	914	3.00243415207877
"sub-1037"	"localiser"	"face"	"Left"	"Sub"	154	5.0998210974026
"sub-1037"	"localiser"	"face"	"Left"	"alERC"	149	3.20121845637584
"sub-1037"	"localiser"	"face"	"Left"	"pmERC"	71	1.87037750704225
"sub-1037"	"localiser"	"face"	"Right"	"Ant Hipp Head"	102	7.01831185294118
"sub-1037"	"localiser"	"face"	"Right"	"CA1"	135	5.02510668888889
"sub-1037"	"localiser"	"face"	"Right"	"CA23DG"	197	8.53863640101523
"sub-1037"	"localiser"	"face"	"Right"	"Hipp Tail"	68	3.33877466176471
"sub-1037"	"localiser"	"face"	"Right"	"PHC"	344	0.156730918604651
"sub-1037"	"localiser"	"face"	"Right"	"PRC"	703	4.42262910953058
"sub-1037"	"localiser"	"face"	"Right"	"Sub"	111	0.934108234234234
"sub-1037"	"localiser"	"face"	"Right"	"alERC"	160	1.9203809
"sub-1037"	"localiser"	"face"	"Right"	"pmERC"	75	5.41194052
"sub-1037"	"localiser"	"obj"	"Left"	"Ant Hipp Head"	62	-0.651655564516129
"sub-1037"	"localiser"	"obj"	"Left"	"CA1"	120	0.112258508333333
"sub-1037"	"localiser"	"obj"	"Left"	"CA23DG"	194	3.95619530412371
"sub-1037"	"localiser"	"obj"	"Left"	"Hipp Tail"	47	0.717151127659575
"sub-1037"	"localiser"	"obj"	"Left"	"PHC"	430	4.38872624418605
"sub-1037"	"localiser"	"obj"	"Left"	"PRC"	914	3.6965464463895
"sub-1037"	"localiser"	"obj"	"Left"	"Sub"	154	0.730895357142857
"sub-1037"	"localiser"	"obj"	"Left"	"alERC"	149	4.01564516107383
"sub-1037"	"localiser"	"obj"	"Left"	"pmERC"	71	1.77479976056338
"sub-1037"	"localiser"	"obj"	"Right"	"Ant Hipp Head"	102	3.4323047745098
"sub-1037"	"localiser"	"obj"	"Right"	"CA1"	135	3.2265876
"sub-1037"	"localiser"	"obj"	"Right"	"CA23DG"	197	0.490327319796954
"sub-1037"	"localiser"	"obj"	"Right"	"Hipp Tail"	68	0.633631882352941
"sub-1037"	"localiser"	"obj"	"Right"	"PHC"	344	2.30501585755814
"sub-1037"	"localiser"	"obj"	"Right"	"PRC"	703	2.79902765860597
"sub-1037"	"localiser"	"obj"	"Right"	"Sub"	111	0.919717009009009
"sub-1037"	"localiser"	"obj"	"Right"	"alERC"	160	1.9105089125
"sub-1037"	"localiser"	"obj"	"Right"	"pmERC"	75	1.38803928
"sub-1037"	"localiser"	"scene"	"Left"	"Ant Hipp Head"	62	-0.85019364516129
"sub-1037"	"localiser"	"scene"	"Left"	"CA1"	120	0.72743065
"sub-1037"	"localiser"	"scene"	"Left"	"CA23DG"	194	9.26472608762887
"sub-1037"	"localiser"	"scene"	"Left"	"Hipp Tail"	47	5.00235595744681
"sub-1037"	"localiser"	"scene"	"Left"	"PHC"	430	14.5564323069767
"sub-1037"	"localiser"	"scene"	"Left"	"PRC"	914	3.50251045076586
"sub-1037"	"localiser"	"scene"	"Left"	"Sub"	154	2.18552500649351
"sub-1037"	"localiser"	"scene"	"Left"	"alERC"	149	8.12899196644295
"sub-1037"	"localiser"	"scene"	"Left"	"pmERC"	71	7.84841676056338
"sub-1037"	"localiser"	"scene"	"Right"	"Ant Hipp Head"	102	10.1648151666667
"sub-1037"	"localiser"	"scene"	"Right"	"CA1"	135	2.33086303703704
"sub-1037"	"localiser"	"scene"	"Right"	"CA23DG"	197	4.5357431928934
"sub-1037"	"localiser"	"scene"	"Right"	"Hipp Tail"	68	-0.488192470588235
"sub-1037"	"localiser"	"scene"	"Right"	"PHC"	344	19.6776595319767
"sub-1037"	"localiser"	"scene"	"Right"	"PRC"	703	3.88129053485064
"sub-1037"	"localiser"	"scene"	"Right"	"Sub"	111	2.18275101801802
"sub-1037"	"localiser"	"scene"	"Right"	"alERC"	160	8.271734825
"sub-1037"	"localiser"	"scene"	"Right"	"pmERC"	75	13.74040212
