onset	duration	block	trial	phase	trialtype	category	pairnum	accuracy	test_RT
14.483269	3.99731578000003	1	1	study	AB	Scene	5	0	NA
26.481707	4.00346678000007	1	2	study	AB	Scene	7	0	NA
32.486581	4.00091878000007	1	3	study	AB	Scene	1	0	NA
38.488784	4.00100478000006	1	4	study	AB	Scene	2	0	NA
44.491296	4.00079078000001	1	5	study	AB	Scene	3	0	NA
52.49333	4.00183977999999	1	6	study	AB	Scene	6	0	NA
60.496471	4.00178177999998	1	7	study	AB	Scene	4	0	NA
66.499239	4.00130978000007	1	8	study	AB	Scene	8	0	NA
76.501688	4.00273077999995	1	9	study	BC	Scene	4	0	NA
82.505563	4.00114478000006	1	10	study	BC	Scene	7	0	NA
90.508128	4.00166177999999	1	11	study	BC	Scene	8	0	NA
96.511343	4.00074378000002	1	12	study	BC	Scene	6	0	NA
108.513438	4.00326878000013	1	13	study	BC	Scene	2	0	NA
116.518291	4.00150878	1	14	study	BC	Scene	5	0	NA
122.520856	4.00122877999992	1	15	study	BC	Scene	1	0	NA
132.523716	4.00220677999992	1	16	study	BC	Scene	3	0	NA
150.714178	4.01873777999991	1	1	test	AC	Scene	8	0	1980.48122064
156.73447	4.01744577999992	1	2	test	AC	Scene	6	0	2158.59022064
168.753661	4.01955078000002	1	3	test	AC	Scene	1	0	1518.32222064
174.774362	4.01780778000012	1	4	test	AC	Scene	4	0	1538.27222064
180.793503	4.01766877999998	1	5	test	AC	Scene	3	0	2276.31722064
190.812631	4.01903777999996	1	6	test	AC	Scene	7	0	1134.78622064
198.83336	4.01805778000003	1	7	test	AC	Scene	5	0	1214.92022064
204.852712	4.01770677999995	1	8	test	AC	Scene	2	0	2600.76722064
214.872166	4.01875178000002	1	9	test	AB	Scene	8	1	1795.42222064
220.892459	4.01742577999996	1	10	test	AB	Scene	1	1	2022.97622064
232.911308	4.01986178000012	1	11	test	BC	Scene	7	0	1236.64422064
238.932387	4.01778378000006	1	12	test	AB	Scene	2	0	2032.68622064
248.951563	4.01911178000001	1	13	test	BC	Scene	2	1	1128.28322064
254.972043	4.01762478000001	1	14	test	AB	Scene	6	0	1477.64622064
266.990914	4.02004577999993	1	15	test	BC	Scene	4	0	935.412220644
275.011872	4.01883678000001	1	16	test	AB	Scene	5	1	1823.82522064
281.032495	4.01718878000008	1	17	test	BC	Scene	5	0	1572.24222064
295.051162	4.02054578000004	1	18	test	BC	Scene	3	1	1390.82922064
301.073188	4.01752377999999	1	19	test	AB	Scene	3	1	1535.41322064
309.092007	4.01844877999998	1	20	test	BC	Scene	6	0	1271.77322064
319.111453	4.01950378000014	1	21	test	AB	Scene	7	0	1673.03722064
325.132503	4.0174537800001	1	22	test	BC	Scene	1	0	1617.31822064
331.151385	4.01753178000008	1	23	test	AB	Scene	4	0	1488.28222064
337.170013	4.01790277999995	1	24	test	BC	Scene	8	1	976.567220644
16.488613	4.003607325	2	1	study	AB	Face	8	1	NA
28.493756	4.00308732500001	2	2	study	AB	Face	7	0	NA
34.498865	4.000268325	2	3	study	AB	Face	3	0	NA
42.500376	4.001843325	2	4	study	AB	Face	6	1	NA
48.503422	4.00112932499999	2	5	study	AB	Face	2	1	NA
56.506154	4.00147932500002	2	6	study	AB	Face	1	0	NA
62.508844	4.001087325	2	7	study	AB	Face	5	1	NA
68.511119	4.001102325	2	8	study	AB	Face	4	0	NA
74.513596	4.00095532499999	2	9	study	BC	Face	7	0	NA
82.516148	4.00148532500002	2	10	study	BC	Face	1	0	NA
94.518938	4.003281325	2	11	study	BC	Face	2	1	NA
100.523471	4.00108132500001	2	12	study	BC	Face	6	1	NA
106.525938	4.00090332500001	2	13	study	BC	Face	4	0	NA
114.528237	4.001689325	2	14	study	BC	Face	5	1	NA
122.5313	4.00171032499999	2	15	study	BC	Face	3	0	NA
132.534833	4.00200732499998	2	16	study	BC	Face	8	1	NA
148.708607	4.01780632500004	2	1	test	AC	Face	4	0	1606.32467539
158.727824	4.01911132500003	2	2	test	AC	Face	5	1	1190.68167539
164.748121	4.01781132499999	2	3	test	AC	Face	1	0	1389.00967539
174.767234	4.01919532499998	2	4	test	AC	Face	2	1	1912.08967539
186.787591	4.02012832500003	2	5	test	AC	Face	6	1	1189.77767539
198.809295	4.01972132499996	2	6	test	AC	Face	3	0	1359.24267539
204.830147	4.01786932499998	2	7	test	AC	Face	7	0	1730.36867539
214.849414	4.01911032500002	2	8	test	AC	Face	8	1	1254.61667539
