block	trial	phase	pairtype	category	pairnum	fix_x_pos	fix_y_pos	fix_start_time	fix_end_time	fix_dwell_time	ia_side	ia_item_category	ia_item_type
1	1	study	AB	Face	8	290	431.8	6336	6611	275	Left	Face	Linking
1	1	study	AB	Face	8	244.5	418.5	6633	7229	596	Left	Face	Linking
1	1	study	AB	Face	8	718.8	392	7281	7601	320	Right	Object	Unique
1	2	study	AB	Face	7	276.3	466.1	7989	8153	164	Left	Face	Linking
1	2	study	AB	Face	7	272.9	468.5	8161	8407	246	Left	Face	Linking
1	2	study	AB	Face	7	775.5	438.8	8471	8744	273	Right	Object	Unique
1	2	study	AB	Face	7	743	416	8766	9137	371	Right	Object	Unique
1	2	study	AB	Face	7	697.9	445.9	9241	9411	170	Right	Object	Unique
1	2	study	AB	Face	7	733.1	496	9440	9883	443	Right	Object	Unique
1	2	study	AB	Face	7	740.4	345	9928	10370	442	Right	Object	Unique
1	3	study	AB	Face	3	365.4	407.9	1912	2028	116	Left	Face	Linking
1	3	study	AB	Face	3	294.6	444	2051	2181	130	Left	Face	Linking
1	3	study	AB	Face	3	262.9	450.9	2195	2897	702	Left	Face	Linking
1	3	study	AB	Face	3	622.6	402.4	2948	3266	318	Right	Object	Unique
1	3	study	AB	Face	3	258.2	438.4	3321	3609	288	Left	Face	Linking
1	3	study	AB	Face	3	282.7	446.5	3628	3993	365	Left	Face	Linking
1	3	study	AB	Face	3	660.6	352.1	4045	4228	183	Right	Object	Unique
1	3	study	AB	Face	3	767.6	327.8	4263	4599	336	Right	Object	Unique
1	3	study	AB	Face	3	262.5	436.7	4660	4711	51	Left	Face	Linking
1	4	study	AB	Face	6	715.7	401.9	3990	4120	130	Right	Face	Linking
1	4	study	AB	Face	6	304.3	377.8	4168	4441	273	Left	Object	Unique
1	4	study	AB	Face	6	200.6	441.8	4465	5063	598	Left	Object	Unique
1	4	study	AB	Face	6	323.5	391.1	5089	5835	746	Left	Object	Unique
1	5	study	AB	Face	2	267.8	361.2	2030	2334	304	Left	Object	Unique
1	5	study	AB	Face	2	252.1	365.5	2352	2718	366	Left	Object	Unique
1	5	study	AB	Face	2	256.5	319.2	2736	3131	395	Left	Object	Unique
1	5	study	AB	Face	2	722.5	421.8	3188	3319	131	Right	Face	Linking
1	5	study	AB	Face	2	757.9	430	3341	3528	187	Right	Face	Linking
1	5	study	AB	Face	2	262.2	399.7	3586	3932	346	Left	Object	Unique
1	6	study	AB	Face	1	232.6	404.4	4001	4348	347	Left	Object	Unique
1	6	study	AB	Face	1	736.4	407.8	4401	4929	528	Right	Face	Linking
1	6	study	AB	Face	1	365.5	438.8	4983	5111	128	Left	Object	Unique
1	6	study	AB	Face	1	238.3	434.3	5146	5505	359	Left	Object	Unique
1	7	study	AB	Face	5	285	389.7	2003	2289	286	Left	Object	Unique
1	7	study	AB	Face	5	338.2	421	2314	2892	578	Left	Object	Unique
1	7	study	AB	Face	5	746.4	440.8	2943	3197	254	Right	Face	Linking
1	7	study	AB	Face	5	282.2	431.3	3252	3569	317	Left	Object	Unique
