"Participant"	"ExperimentPhase"	"Category"	"TestType"	"PairType"	"Accuracy"	"Hemisphere"	"Area"	"ROIGroup"	"ROISize"	"Beta"
"sub-1018"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Ant Hipp Head"	"HC"	56	-5.033987125
"sub-1018"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"CA1"	"HC"	144	-10.7075315763889
"sub-1018"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Sub"	"HC"	95	-10.8048699578947
"sub-1018"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"CA23DG"	"HC"	202	-7.14940361881188
"sub-1018"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Hipp Tail"	"HC"	91	-6.2412516043956
"sub-1018"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"PHC"	"MTL"	472	0.579889283898305
"sub-1018"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"alERC"	"MTL"	113	-5.22758194690265
"sub-1018"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"PRC"	"MTL"	426	-3.74834546713615
"sub-1018"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"pmERC"	"MTL"	74	-2.47990982432432
"sub-1018"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"CA1"	"HC"	120	-9.19492029166667
"sub-1018"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Hipp Tail"	"HC"	90	-0.378772622222222
"sub-1018"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Sub"	"HC"	105	-14.3263440571429
"sub-1018"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"CA23DG"	"HC"	188	-6.84688153191489
"sub-1018"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"PRC"	"MTL"	625	1.5127930032
"sub-1018"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"alERC"	"MTL"	120	-3.99093491666667
"sub-1018"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"PHC"	"MTL"	601	-0.224602069883527
"sub-1018"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"pmERC"	"MTL"	89	-10.7334112359551
"sub-1018"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Ant Hipp Head"	"HC"	108	-4.34209957407407
"sub-1018"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"FFA"	"LocCat"	303	23.1245057491749
"sub-1018"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"FFA"	"LocCat"	261	30.903099045977
"sub-1018"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"Ant Hipp Head"	"HC"	56	-6.26780480357143
"sub-1018"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"CA1"	"HC"	144	-7.03613477083333
"sub-1018"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"Sub"	"HC"	95	-12.9869443894737
"sub-1018"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"CA23DG"	"HC"	202	-9.30619800990099
"sub-1018"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"Hipp Tail"	"HC"	91	-1.64875512087912
"sub-1018"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"PHC"	"MTL"	472	0.574679483050847
"sub-1018"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"alERC"	"MTL"	113	-3.40985323893805
"sub-1018"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"PRC"	"MTL"	426	-4.10392962441315
"sub-1018"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"pmERC"	"MTL"	74	-2.4249897972973
"sub-1018"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"CA1"	"HC"	120	-4.790174325
"sub-1018"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"Hipp Tail"	"HC"	90	0.806377077777778
"sub-1018"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"Sub"	"HC"	105	-11.9963370666667
"sub-1018"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"CA23DG"	"HC"	188	-7.0351344787234
"sub-1018"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"PRC"	"MTL"	625	1.3699604112
"sub-1018"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"alERC"	"MTL"	120	-10.0777111333333
"sub-1018"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"PHC"	"MTL"	601	-0.735798116472546
"sub-1018"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"pmERC"	"MTL"	89	-8.01207639325843
"sub-1018"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"Ant Hipp Head"	"HC"	108	-5.75702664814815
"sub-1018"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"FFA"	"LocCat"	303	26.2579199042904
"sub-1018"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"FFA"	"LocCat"	261	35.6418638084291
"sub-1018"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"Ant Hipp Head"	"HC"	56	6.58705364285714
"sub-1018"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"CA1"	"HC"	144	-2.41372331944444
