"Participant"	"ExperimentPhase"	"Category"	"TestType"	"PairType"	"Accuracy"	"Hemisphere"	"Area"	"ROIGroup"	"ROISize"	"Beta"
"sub-1030"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Ant Hipp Head"	"HC"	95	8.04053364210526
"sub-1030"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"CA1"	"HC"	144	5.08319311805556
"sub-1030"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Sub"	"HC"	120	0.242896275
"sub-1030"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"CA23DG"	"HC"	217	13.7329997004608
"sub-1030"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Hipp Tail"	"HC"	75	3.82396786666667
"sub-1030"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"PHC"	"MTL"	352	3.59016461079545
"sub-1030"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"alERC"	"MTL"	206	0.355576388349515
"sub-1030"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"PRC"	"MTL"	591	3.53583161928934
"sub-1030"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"pmERC"	"MTL"	107	9.20930112149533
"sub-1030"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"CA1"	"HC"	134	5.45433602985075
"sub-1030"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Hipp Tail"	"HC"	69	0.166900449275362
"sub-1030"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Sub"	"HC"	151	-2.33277276821192
"sub-1030"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"CA23DG"	"HC"	235	1.23918297021277
"sub-1030"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"PRC"	"MTL"	981	2.39295632008155
"sub-1030"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"alERC"	"MTL"	196	0.522928693877551
"sub-1030"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"PHC"	"MTL"	398	0.44426427638191
"sub-1030"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"pmERC"	"MTL"	104	1.103918625
"sub-1030"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Ant Hipp Head"	"HC"	90	5.39337996666667
