"Participant"	"ExperimentPhase"	"Category"	"TestType"	"PairType"	"Accuracy"	"Hemisphere"	"Area"	"ROIGroup"	"ROISize"	"Beta"
"sub-1019"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Ant Hipp Head"	"HC"	56	12.3749120535714
"sub-1019"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"CA1"	"HC"	138	-2.74398176811594
"sub-1019"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Sub"	"HC"	89	3.76960534831461
"sub-1019"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"CA23DG"	"HC"	265	0.0244372490566038
"sub-1019"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Hipp Tail"	"HC"	62	-1.80418941935484
"sub-1019"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"PHC"	"MTL"	358	6.55835112290503
"sub-1019"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"alERC"	"MTL"	172	-2.31515619186046
"sub-1019"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"PRC"	"MTL"	364	1.6880206978022
"sub-1019"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"pmERC"	"MTL"	88	6.04351005681818
"sub-1019"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"CA1"	"HC"	110	-2.93630688181818
"sub-1019"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Hipp Tail"	"HC"	121	3.92624404958678
"sub-1019"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Sub"	"HC"	100	4.88710241
"sub-1019"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"CA23DG"	"HC"	193	10.3318083626943
"sub-1019"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"PRC"	"MTL"	479	-0.842519183716075
"sub-1019"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"alERC"	"MTL"	121	1.73373200826446
"sub-1019"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"PHC"	"MTL"	440	2.33432290454545
"sub-1019"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"pmERC"	"MTL"	100	5.73083601
"sub-1019"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Ant Hipp Head"	"HC"	47	14.0388907659574
"sub-1019"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"FFA"	"LocCat"	249	46.057641815261
"sub-1019"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"FFA"	"LocCat"	115	23.9239283565217
"sub-1019"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"Ant Hipp Head"	"HC"	56	6.84288844642857
"sub-1019"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"CA1"	"HC"	138	-5.3989675942029
"sub-1019"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"Sub"	"HC"	89	0.41353202247191
"sub-1019"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"CA23DG"	"HC"	265	-3.13967931320755
"sub-1019"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"Hipp Tail"	"HC"	62	-2.82298138709677
"sub-1019"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"PHC"	"MTL"	358	14.3322412653631
"sub-1019"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"alERC"	"MTL"	172	-2.60816691860465
"sub-1019"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"PRC"	"MTL"	364	0.413084538461538
"sub-1019"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"pmERC"	"MTL"	88	-0.358316943181818
"sub-1019"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"CA1"	"HC"	110	-3.68779180909091
"sub-1019"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"Hipp Tail"	"HC"	121	3.0097036446281
"sub-1019"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"Sub"	"HC"	100	1.93933908
"sub-1019"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"CA23DG"	"HC"	193	3.2698475388601
"sub-1019"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"PRC"	"MTL"	479	-1.2091977473904
"sub-1019"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"alERC"	"MTL"	121	2.50118938842975
"sub-1019"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"PHC"	"MTL"	440	2.24143289772727
"sub-1019"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"pmERC"	"MTL"	100	5.52432734
"sub-1019"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"Ant Hipp Head"	"HC"	47	9.90837414893617
"sub-1019"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"FFA"	"LocCat"	249	47.4291936184739
"sub-1019"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"FFA"	"LocCat"	115	25.843466573913
"sub-1019"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"Ant Hipp Head"	"HC"	56	9.97119169642857
"sub-1019"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"CA1"	"HC"	138	-1.88905671014493
"sub-1019"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"Sub"	"HC"	89	-5.03139748314607
"sub-1019"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"CA23DG"	"HC"	265	-0.139837350943396
"sub-1019"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"Hipp Tail"	"HC"	62	4.89628924193548
"sub-1019"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"PHC"	"MTL"	358	9.15516788547486
"sub-1019"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"alERC"	"MTL"	172	2.39818585465116
"sub-1019"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"PRC"	"MTL"	364	0.919347461538462
"sub-1019"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"pmERC"	"MTL"	88	1.70174310227273
"sub-1019"	"study"	"face"	"study"	"BC"	"Forgotten"	"Left"	"CA1"	"HC"	110	-0.205082827272727
"sub-1019"	"study"	"face"	"study"	"BC"	"Forgotten"	"Left"	"Hipp Tail"	"HC"	121	1.92671457024793
"sub-1019"	"study"	"face"	"study"	"BC"	"Forgotten"	"Left"	"Sub"	"HC"	100	4.09153441
"sub-1019"	"study"	"face"	"study"	"BC"	"Forgotten"	"Left"	"CA23DG"	"HC"	193	-0.729012321243523
"sub-1019"	"study"	"face"	"study"	"BC"	"Forgotten"	"Left"	"PRC"	"MTL"	479	0.182429463465553
"sub-1019"	"study"	"face"	"study"	"BC"	"Forgotten"	"Left"	"alERC"	"MTL"	121	2.23424589256198
"sub-1019"	"study"	"face"	"study"	"BC"	"Forgotten"	"Left"	"PHC"	"MTL"	440	3.57486872727273
"sub-1019"	"study"	"face"	"study"	"BC"	"Forgotten"	"Left"	"pmERC"	"MTL"	100	2.26174481
"sub-1019"	"study"	"face"	"study"	"BC"	"Forgotten"	"Left"	"Ant Hipp Head"	"HC"	47	2.57613668085106
"sub-1019"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"FFA"	"LocCat"	249	38.179786184739
"sub-1019"	"study"	"face"	"study"	"BC"	"Forgotten"	"Left"	"FFA"	"LocCat"	115	25.9958378086957
"sub-1019"	"study"	"face"	"study"	"BC"	"Remembered"	"Right"	"Ant Hipp Head"	"HC"	56	10.9123040714286
"sub-1019"	"study"	"face"	"study"	"BC"	"Remembered"	"Right"	"CA1"	"HC"	138	0.812634601449275
"sub-1019"	"study"	"face"	"study"	"BC"	"Remembered"	"Right"	"Sub"	"HC"	89	1.70605302247191
"sub-1019"	"study"	"face"	"study"	"BC"	"Remembered"	"Right"	"CA23DG"	"HC"	265	4.35180377735849
"sub-1019"	"study"	"face"	"study"	"BC"	"Remembered"	"Right"	"Hipp Tail"	"HC"	62	8.79265491935484
"sub-1019"	"study"	"face"	"study"	"BC"	"Remembered"	"Right"	"PHC"	"MTL"	358	6.07694551396648
"sub-1019"	"study"	"face"	"study"	"BC"	"Remembered"	"Right"	"alERC"	"MTL"	172	3.26098748837209
"sub-1019"	"study"	"face"	"study"	"BC"	"Remembered"	"Right"	"PRC"	"MTL"	364	0.973655263736264
"sub-1019"	"study"	"face"	"study"	"BC"	"Remembered"	"Right"	"pmERC"	"MTL"	88	0.283615988636364
"sub-1019"	"study"	"face"	"study"	"BC"	"Remembered"	"Left"	"CA1"	"HC"	110	-4.63556770909091
"sub-1019"	"study"	"face"	"study"	"BC"	"Remembered"	"Left"	"Hipp Tail"	"HC"	121	2.99300165289256
"sub-1019"	"study"	"face"	"study"	"BC"	"Remembered"	"Left"	"Sub"	"HC"	100	2.99692223
"sub-1019"	"study"	"face"	"study"	"BC"	"Remembered"	"Left"	"CA23DG"	"HC"	193	-0.259633062176166
"sub-1019"	"study"	"face"	"study"	"BC"	"Remembered"	"Left"	"PRC"	"MTL"	479	-0.949958427974948
"sub-1019"	"study"	"face"	"study"	"BC"	"Remembered"	"Left"	"alERC"	"MTL"	121	6.40793567768595
"sub-1019"	"study"	"face"	"study"	"BC"	"Remembered"	"Left"	"PHC"	"MTL"	440	6.04044562727273
"sub-1019"	"study"	"face"	"study"	"BC"	"Remembered"	"Left"	"pmERC"	"MTL"	100	6.47613594
"sub-1019"	"study"	"face"	"study"	"BC"	"Remembered"	"Left"	"Ant Hipp Head"	"HC"	47	6.60940908510638
"sub-1019"	"study"	"face"	"study"	"BC"	"Remembered"	"Right"	"FFA"	"LocCat"	249	31.6773770200803
"sub-1019"	"study"	"face"	"study"	"BC"	"Remembered"	"Left"	"FFA"	"LocCat"	115	19.3293443130435
"sub-1019"	"test"	"face"	"dir"	"test"	"Correct"	"Right"	"Ant Hipp Head"	"HC"	56	-0.938303232142857
"sub-1019"	"test"	"face"	"dir"	"test"	"Correct"	"Right"	"CA1"	"HC"	138	-0.899275239130435
"sub-1019"	"test"	"face"	"dir"	"test"	"Correct"	"Right"	"Sub"	"HC"	89	-0.419830325842697
"sub-1019"	"test"	"face"	"dir"	"test"	"Correct"	"Right"	"CA23DG"	"HC"	265	-4.45004290188679
"sub-1019"	"test"	"face"	"dir"	"test"	"Correct"	"Right"	"Hipp Tail"	"HC"	62	3.80030561290323
"sub-1019"	"test"	"face"	"dir"	"test"	"Correct"	"Right"	"PHC"	"MTL"	358	6.71502077374302
"sub-1019"	"test"	"face"	"dir"	"test"	"Correct"	"Right"	"alERC"	"MTL"	172	0.722518773255814
"sub-1019"	"test"	"face"	"dir"	"test"	"Correct"	"Right"	"PRC"	"MTL"	364	2.78134821978022
"sub-1019"	"test"	"face"	"dir"	"test"	"Correct"	"Right"	"pmERC"	"MTL"	88	-0.50601525
"sub-1019"	"test"	"face"	"dir"	"test"	"Correct"	"Left"	"CA1"	"HC"	110	-1.17166577272727
"sub-1019"	"test"	"face"	"dir"	"test"	"Correct"	"Left"	"Hipp Tail"	"HC"	121	4.24524423966942
"sub-1019"	"test"	"face"	"dir"	"test"	"Correct"	"Left"	"Sub"	"HC"	100	-3.20372445
"sub-1019"	"test"	"face"	"dir"	"test"	"Correct"	"Left"	"CA23DG"	"HC"	193	0.0956532953367875
"sub-1019"	"test"	"face"	"dir"	"test"	"Correct"	"Left"	"PRC"	"MTL"	479	2.55537456158664
"sub-1019"	"test"	"face"	"dir"	"test"	"Correct"	"Left"	"alERC"	"MTL"	121	4.73268459504132
"sub-1019"	"test"	"face"	"dir"	"test"	"Correct"	"Left"	"PHC"	"MTL"	440	-2.60316025227273
"sub-1019"	"test"	"face"	"dir"	"test"	"Correct"	"Left"	"pmERC"	"MTL"	100	4.38202359
"sub-1019"	"test"	"face"	"dir"	"test"	"Correct"	"Left"	"Ant Hipp Head"	"HC"	47	0.245118
"sub-1019"	"test"	"face"	"dir"	"test"	"Correct"	"Right"	"FFA"	"LocCat"	249	42.3777137349398
"sub-1019"	"test"	"face"	"dir"	"test"	"Correct"	"Left"	"FFA"	"LocCat"	115	23.9545361652174
"sub-1019"	"test"	"face"	"dir"	"test"	"Incorrect"	"Right"	"Ant Hipp Head"	"HC"	56	-3.00166707142857
"sub-1019"	"test"	"face"	"dir"	"test"	"Incorrect"	"Right"	"CA1"	"HC"	138	-2.17657684057971
"sub-1019"	"test"	"face"	"dir"	"test"	"Incorrect"	"Right"	"Sub"	"HC"	89	0.256089112359551
"sub-1019"	"test"	"face"	"dir"	"test"	"Incorrect"	"Right"	"CA23DG"	"HC"	265	-10.2599722867925
"sub-1019"	"test"	"face"	"dir"	"test"	"Incorrect"	"Right"	"Hipp Tail"	"HC"	62	-2.94225953225806
