onset	duration	trial	category
12	4000	1	Scene
16	4000	2	Face
22	4000	3	Face
26	4000	4	Scene
30	4000	5	Scene
34	4000	6	Scene
40	4000	7	Scene
44	4000	8	Face
48	4000	9	Scene
52	4000	10	Face
58	4000	11	Scene
62	4000	12	Scene
66	4000	13	Object
70	4000	14	Face
78	4000	15	Object
82	4000	16	Object
86	4000	17	Face
96	4000	18	Object
100	4000	19	Object
106	4000	20	Scene
114	4000	21	Scene
118	4000	22	Scene
122	4000	23	Scene
128	4000	24	Object
132	4000	25	Face
138	4000	26	Face
142	4000	27	Object
146	4000	28	Face
150	4000	29	Object
154	4000	30	Face
170	4000	31	Face
176	4000	32	Object
180	4000	33	Object
186	4000	34	Object
190	4000	35	Face
196	4000	36	Object
204	4000	37	Face
208	4000	38	Scene
214	4000	39	Face
218	4000	40	Object
222	4000	41	Object
226	4000	42	Object
232	4000	43	Object
236	4000	44	Scene
240	4000	45	Object
244	4000	46	Object
250	4000	47	Object
254	4000	48	Object
258	4000	49	Scene
264	4000	50	Face
268	4000	51	Object
276	4000	52	Object
280	4000	53	Scene
286	4000	54	Scene
290	4000	55	Scene
296	4000	56	Object
300	4000	57	Object
306	4000	58	Scene
322	4000	59	Face
328	4000	60	Object
332	4000	61	Scene
336	4000	62	Object
342	4000	63	Scene
346	4000	64	Scene
350	4000	65	Face
356	4000	66	Scene
362	4000	67	Scene
366	4000	68	Scene
370	4000	69	Face
374	4000	70	Object
378	4000	71	Face
386	4000	72	Scene
392	4000	73	Face
396	4000	74	Scene
400	4000	75	Object
404	4000	76	Object
408	4000	77	Object
412	4000	78	Scene
416	4000	79	Object
420	4000	80	Scene
424	4000	81	Face
428	4000	82	Face
432	4000	83	Object
438	4000	84	Face
442	4000	85	Face
450	4000	86	Face
454	4000	87	Face
470	4000	88	Object
476	4000	89	Face
482	4000	90	Object
486	4000	91	Face
492	4000	92	Scene
496	4000	93	Object
504	4000	94	Face
510	4000	95	Face
516	4000	96	Scene
520	4000	97	Face
524	4000	98	Face
528	4000	99	Face
532	4000	100	Object
536	4000	101	Face
544	4000	102	Face
548	4000	103	Face
552	4000	104	Scene
556	4000	105	Object
560	4000	106	Face
564	4000	107	Scene
572	4000	108	Object
578	4000	109	Scene
586	4000	110	Scene
590	4000	111	Scene
594	4000	112	Face
604	4000	113	Scene
608	4000	114	Scene
612	4000	115	Object
620	4000	116	Scene
626	4000	117	Scene
630	4000	118	Object
638	4000	119	Face
644	4000	120	Face
