block	trial	phase	pairtype	category	pairnum	fix_x_pos	fix_y_pos	fix_start_time	fix_end_time	fix_dwell_time	ia_side	ia_item_category	ia_item_type
1	1	study	AB	Face	6	335.5	387.5	2297	2606	309	Left	Face	Linking
1	1	study	AB	Face	6	740.6	410.9	2662	2908	246	Right	Object	Unique
1	1	study	AB	Face	6	767.4	426.9	2925	3165	240	Right	Object	Unique
1	1	study	AB	Face	6	751.9	470.5	4787	4849	62	Right	Object	Unique
1	1	study	AB	Face	6	755.1	465.6	4922	4942	20	Right	Object	Unique
1	1	study	AB	Face	6	751	468.8	4968	5032	64	Right	Object	Unique
1	2	study	AB	Face	2	779.3	373.3	2383	2449	66	Right	Object	Unique
1	2	study	AB	Face	2	343.6	433.5	3767	3808	41	Left	Face	Linking
1	2	study	AB	Face	2	717.8	423.9	3895	4123	228	Right	Object	Unique
1	2	study	AB	Face	2	368.6	442.8	4353	4442	89	Left	Face	Linking
1	2	study	AB	Face	2	359.1	437.7	4482	4524	42	Left	Face	Linking
1	3	study	AB	Face	1	320.5	387	6088	6245	157	Left	Object	Unique
1	3	study	AB	Face	1	304.5	379.3	6256	6286	30	Left	Object	Unique
1	3	study	AB	Face	1	789.1	394.9	6374	6441	67	Right	Face	Linking
1	3	study	AB	Face	1	793.7	399.6	6451	6643	192	Right	Face	Linking
1	3	study	AB	Face	1	780	414.8	6865	6919	54	Right	Face	Linking
1	3	study	AB	Face	1	345.8	403.6	7045	7076	31	Left	Object	Unique
1	3	study	AB	Face	1	336.5	404	7136	7170	34	Left	Object	Unique
1	3	study	AB	Face	1	333.5	409.9	7197	7230	33	Left	Object	Unique
1	4	study	AB	Face	4	304	382.6	2056	2190	134	Left	Face	Linking
1	4	study	AB	Face	4	301.5	390.4	2196	2257	61	Left	Face	Linking
1	4	study	AB	Face	4	760.6	381.7	2314	2599	285	Right	Object	Unique
1	4	study	AB	Face	4	800.5	433.1	2642	2872	230	Right	Object	Unique
1	4	study	AB	Face	4	352.1	441.3	2978	3000	22	Left	Face	Linking
1	4	study	AB	Face	4	339.9	449.8	3109	3222	113	Left	Face	Linking
1	4	study	AB	Face	4	325.3	458	3403	3679	276	Left	Face	Linking
1	4	study	AB	Face	4	345.8	398	4585	4608	23	Left	Face	Linking
1	4	study	AB	Face	4	339.4	404.6	4661	4681	20	Left	Face	Linking
1	5	study	AB	Face	3	341	398	6039	6199	160	Left	Face	Linking
1	5	study	AB	Face	3	758.3	431.6	6252	6521	269	Right	Object	Unique
1	5	study	AB	Face	3	327.4	444.1	6603	6807	204	Left	Face	Linking
1	6	study	AB	Face	8	757.7	418.2	1971	2107	136	Right	Face	Linking
1	6	study	AB	Face	8	338.3	370.8	3326	3405	79	Left	Object	Unique
1	6	study	AB	Face	8	328.8	364.2	3507	3541	34	Left	Object	Unique
1	6	study	AB	Face	8	345	465	3718	3753	35	Left	Object	Unique
1	6	study	AB	Face	8	760.8	426.7	4067	4134	67	Right	Face	Linking
1	7	study	AB	Face	5	279.3	359.7	6011	6319	308	Left	Object	Unique
1	7	study	AB	Face	5	334.1	420.5	6365	6720	355	Left	Object	Unique
1	7	study	AB	Face	5	253.8	363.7	6760	6831	71	Left	Object	Unique
1	7	study	AB	Face	5	255.3	359.5	6855	6904	49	Left	Object	Unique
1	7	study	AB	Face	5	769.5	410.7	6946	7231	285	Right	Face	Linking
1	7	study	AB	Face	5	328.5	420.6	7545	7590	45	Left	Object	Unique
1	7	study	AB	Face	5	765.6	458.5	8479	8650	171	Right	Face	Linking
1	8	study	AB	Face	7	313.1	364.7	2000	2204	204	Left	Object	Unique
1	8	study	AB	Face	7	258.4	399.3	2227	2580	353	Left	Object	Unique
1	8	study	AB	Face	7	366.5	364.8	2634	2738	104	Left	Object	Unique
1	8	study	AB	Face	7	371.8	367.9	2750	2899	149	Left	Object	Unique
1	8	study	AB	Face	7	746.1	400.2	2975	3258	283	Right	Face	Linking
