"Participant"	"ExperimentPhase"	"Category"	"TestType"	"PairType"	"Accuracy"	"Hemisphere"	"Area"	"ROIGroup"	"ROISize"	"Beta"
"sub-1032"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Ant Hipp Head"	"HC"	143	-13.3533447902098
"sub-1032"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"CA1"	"HC"	124	-1.05609866935484
"sub-1032"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Sub"	"HC"	100	9.21419354
"sub-1032"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"CA23DG"	"HC"	207	-11.351556942029
"sub-1032"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Hipp Tail"	"HC"	75	3.45335426666667
"sub-1032"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"PHC"	"MTL"	482	5.02144785062241
"sub-1032"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"alERC"	"MTL"	80	-9.60938235
"sub-1032"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"PRC"	"MTL"	675	3.14241475407407
"sub-1032"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"pmERC"	"MTL"	76	-18.3153838947368
"sub-1032"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"CA1"	"HC"	113	1.8068824159292
"sub-1032"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Hipp Tail"	"HC"	79	-12.757916164557
"sub-1032"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Sub"	"HC"	130	-3.73929970769231
"sub-1032"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"CA23DG"	"HC"	173	-13.6418156011561
"sub-1032"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"PRC"	"MTL"	824	0.517467173543689
"sub-1032"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"alERC"	"MTL"	98	-9.42894376530612
"sub-1032"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"PHC"	"MTL"	558	8.59533879390681
