"Participant"	"ExperimentPhase"	"Category"	"TestType"	"PairType"	"Accuracy"	"Hemisphere"	"Area"	"ROIGroup"	"ROISize"	"Beta"
"sub-1020"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Ant Hipp Head"	"HC"	64	9.76456453125
"sub-1020"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"CA1"	"HC"	96	0.0830038125000001
"sub-1020"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Sub"	"HC"	97	-2.65734345360825
"sub-1020"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"CA23DG"	"HC"	172	5.02034700581395
"sub-1020"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Hipp Tail"	"HC"	95	1.65576898947368
"sub-1020"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"PHC"	"MTL"	384	8.95380989811706
"sub-1020"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"alERC"	"MTL"	94	4.05636128723404
"sub-1020"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"PRC"	"MTL"	447	3.3180265704698
"sub-1020"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"pmERC"	"MTL"	68	2.88901379411765
"sub-1020"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"CA1"	"HC"	86	-0.583757697674419
"sub-1020"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Hipp Tail"	"HC"	109	-0.869221100917431
"sub-1020"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Sub"	"HC"	121	-2.98698268595041
"sub-1020"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"CA23DG"	"HC"	154	6.12730722077922
"sub-1020"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"PRC"	"MTL"	508	0.578609456692913
"sub-1020"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"alERC"	"MTL"	140	-2.34705450714286
"sub-1020"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"PHC"	"MTL"	403	1.20440535980149
"sub-1020"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"pmERC"	"MTL"	69	-4.71886768115942
"sub-1020"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Ant Hipp Head"	"HC"	82	-3.42719592682927
"sub-1020"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"FFA"	"LocCat"	267	31.9108879101124
"sub-1020"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"FFA"	"LocCat"	54	25.1810310740741
"sub-1020"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"Ant Hipp Head"	"HC"	64	7.473189515625
"sub-1020"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"CA1"	"HC"	96	-1.92567610416667
"sub-1020"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"Sub"	"HC"	97	-5.73623146391753
"sub-1020"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"CA23DG"	"HC"	172	2.21408944767442
"sub-1020"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"Hipp Tail"	"HC"	95	0.388644242105263
"sub-1020"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"PHC"	"MTL"	384	9.71536939583333
"sub-1020"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"alERC"	"MTL"	94	1.93288020212766
"sub-1020"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"PRC"	"MTL"	447	2.27836637807606
"sub-1020"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"pmERC"	"MTL"	68	-2.38994083823529
"sub-1020"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"CA1"	"HC"	86	-0.750103511627907
"sub-1020"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"Hipp Tail"	"HC"	109	-2.85442131192661
"sub-1020"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"Sub"	"HC"	121	-4.90499167768595
"sub-1020"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"CA23DG"	"HC"	154	1.22409418831169
"sub-1020"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"PRC"	"MTL"	508	1.69096406889764
"sub-1020"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"alERC"	"MTL"	140	-2.6422387
"sub-1020"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"PHC"	"MTL"	403	4.96626023325062
"sub-1020"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"pmERC"	"MTL"	69	-5.89771439130435
"sub-1020"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"Ant Hipp Head"	"HC"	82	-2.26795154878049
"sub-1020"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"FFA"	"LocCat"	267	32.3604299962547
"sub-1020"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"FFA"	"LocCat"	54	27.7450193888889
"sub-1020"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"Ant Hipp Head"	"HC"	64	2.14334384375
"sub-1020"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"CA1"	"HC"	96	-3.07016891666667
"sub-1020"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"Sub"	"HC"	97	-2.00084963917526
"sub-1020"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"CA23DG"	"HC"	172	-1.42912564534884
"sub-1020"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"Hipp Tail"	"HC"	95	1.232438
"sub-1020"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"PHC"	"MTL"	384	14.1440847526042
"sub-1020"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"alERC"	"MTL"	94	1.72078871276596
"sub-1020"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"PRC"	"MTL"	447	4.44528983668904
"sub-1020"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"pmERC"	"MTL"	68	-1.30267088235294
"sub-1020"	"study"	"face"	"study"	"BC"	"Forgotten"	"Left"	"CA1"	"HC"	86	0.22476723255814
"sub-1020"	"study"	"face"	"study"	"BC"	"Forgotten"	"Left"	"Hipp Tail"	"HC"	109	2.42749012844037
"sub-1020"	"study"	"face"	"study"	"BC"	"Forgotten"	"Left"	"Sub"	"HC"	121	-3.23265710743802
"sub-1020"	"study"	"face"	"study"	"BC"	"Forgotten"	"Left"	"CA23DG"	"HC"	154	0.918867344155844
"sub-1020"	"study"	"face"	"study"	"BC"	"Forgotten"	"Left"	"PRC"	"MTL"	508	3.54222555511811
"sub-1020"	"study"	"face"	"study"	"BC"	"Forgotten"	"Left"	"alERC"	"MTL"	140	2.42501803571429
"sub-1020"	"study"	"face"	"study"	"BC"	"Forgotten"	"Left"	"PHC"	"MTL"	403	8.55645181389578
"sub-1020"	"study"	"face"	"study"	"BC"	"Forgotten"	"Left"	"pmERC"	"MTL"	69	8.05212463768116
"sub-1020"	"study"	"face"	"study"	"BC"	"Forgotten"	"Left"	"Ant Hipp Head"	"HC"	82	-4.03316469512195
"sub-1020"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"FFA"	"LocCat"	267	43.3953953220974
"sub-1020"	"study"	"face"	"study"	"BC"	"Forgotten"	"Left"	"FFA"	"LocCat"	54	38.1039880555556
"sub-1020"	"study"	"face"	"study"	"BC"	"Remembered"	"Right"	"Ant Hipp Head"	"HC"	64	-0.7987129375
"sub-1020"	"study"	"face"	"study"	"BC"	"Remembered"	"Right"	"CA1"	"HC"	96	-0.645572083333333
"sub-1020"	"study"	"face"	"study"	"BC"	"Remembered"	"Right"	"Sub"	"HC"	97	0.0266161649484536
"sub-1020"	"study"	"face"	"study"	"BC"	"Remembered"	"Right"	"CA23DG"	"HC"	172	3.45684540697674
"sub-1020"	"study"	"face"	"study"	"BC"	"Remembered"	"Right"	"Hipp Tail"	"HC"	95	2.54625562105263
"sub-1020"	"study"	"face"	"study"	"BC"	"Remembered"	"Right"	"PHC"	"MTL"	384	17.4594842473958
"sub-1020"	"study"	"face"	"study"	"BC"	"Remembered"	"Right"	"alERC"	"MTL"	94	1.97800115957447
"sub-1020"	"study"	"face"	"study"	"BC"	"Remembered"	"Right"	"PRC"	"MTL"	447	4.72650753467562
"sub-1020"	"study"	"face"	"study"	"BC"	"Remembered"	"Right"	"pmERC"	"MTL"	68	1.07813264705882
"sub-1020"	"study"	"face"	"study"	"BC"	"Remembered"	"Left"	"CA1"	"HC"	86	4.3104276627907
"sub-1020"	"study"	"face"	"study"	"BC"	"Remembered"	"Left"	"Hipp Tail"	"HC"	109	2.06035275229358
"sub-1020"	"study"	"face"	"study"	"BC"	"Remembered"	"Left"	"Sub"	"HC"	121	-0.633679636363636
"sub-1020"	"study"	"face"	"study"	"BC"	"Remembered"	"Left"	"CA23DG"	"HC"	154	4.70797025974026
"sub-1020"	"study"	"face"	"study"	"BC"	"Remembered"	"Left"	"PRC"	"MTL"	508	3.51318932480315
"sub-1020"	"study"	"face"	"study"	"BC"	"Remembered"	"Left"	"alERC"	"MTL"	140	2.82683897857143
"sub-1020"	"study"	"face"	"study"	"BC"	"Remembered"	"Left"	"PHC"	"MTL"	403	10.9181340992556
