onset	duration	block	trial	phase	trialtype	category	pairnum	accuracy	test_RT
14.575628	4.00790501200003	1	1	study	AB	Scene	5	1	NA
26.584738	4.00341601200007	1	2	study	AB	Scene	7	1	NA
32.589564	4.00088101200004	1	3	study	AB	Scene	1	0	NA
38.591875	4.00086201200006	1	4	study	AB	Scene	2	0	NA
44.594186	4.00085001200005	1	5	study	AB	Scene	3	1	NA
52.596252	4.00185901200001	1	6	study	AB	Scene	6	1	NA
60.599275	4.00192001200004	1	7	study	AB	Scene	4	1	NA
66.60232	4.00120901200007	1	8	study	AB	Scene	8	0	NA
76.60522	4.00215101200002	1	9	study	BC	Scene	4	1	NA
82.60865	4.00100401200008	1	10	study	BC	Scene	7	1	NA
90.610862	4.00187701200004	1	11	study	BC	Scene	8	0	NA
96.614108	4.00092001200003	1	12	study	BC	Scene	6	1	NA
108.616572	4.00308701200008	1	13	study	BC	Scene	2	0	NA
116.621185	4.00155501200008	1	14	study	BC	Scene	5	1	NA
122.624189	4.00084401200003	1	15	study	BC	Scene	1	0	NA
132.626365	4.0025050120001	1	16	study	BC	Scene	3	1	NA
150.817706	4.0181570120001	1	1	test	AC	Scene	8	0	3183.29198849
156.837035	4.01783801199999	1	2	test	AC	Scene	6	1	1898.23598849
168.856683	4.01947201200001	1	3	test	AC	Scene	1	0	3108.08598849
174.877521	4.01759301200003	1	4	test	AC	Scene	4	1	2953.15698849
180.896442	4.01767701200003	1	5	test	AC	Scene	3	1	1660.73698849
190.915482	4.01913001200007	1	6	test	AC	Scene	7	1	2101.45698849
198.935961	4.018400012	1	7	test	AC	Scene	5	1	2945.33398849
204.955566	4.0178040120001	1	8	test	AC	Scene	2	0	3228.97798849
214.974831	4.01903401200008	1	9	test	AB	Scene	8	1	2114.67798849
220.995284	4.01757701199999	1	10	test	AB	Scene	1	1	3256.32598849
233.014466	4.01968901000012	1	11	test	BC	Scene	7	1	1900.95398849
239.035663	4.01745201000007	1	12	test	AB	Scene	2	1	2211.66898849
249.054703	4.0189300100001	1	13	test	BC	Scene	2	0	1774.76398849
255.075215	4.01739701000004	1	14	test	AB	Scene	6	1	2013.23298849
267.093668	4.02024001000001	1	15	test	BC	Scene	4	1	1541.31898849
275.115342	4.01832001000008	1	16	test	AB	Scene	5	1	1627.80198849
281.135336	4.01730901000008	1	17	test	BC	Scene	5	1	1803.84098849
295.1541	4.02059501000016	1	18	test	BC	Scene	3	1	1733.75798849
301.176	4.01765201000008	1	19	test	AB	Scene	3	1	1593.99498849
309.195065	4.01834801000002	1	20	test	BC	Scene	6	1	1728.36598849
319.214777	4.01914901000005	1	21	test	AB	Scene	7	1	1346.64798849
325.235101	4.01780401000008	1	22	test	BC	Scene	1	1	2025.39098849
331.254068	4.01781800999999	1	23	test	AB	Scene	4	1	1346.91198849
337.273383	4.01748101000016	1	24	test	BC	Scene	8	1	1910.59698849
16.510552	4.0012846874	2	1	study	AB	Face	8	1	NA
28.513137	4.0033246874	2	2	study	AB	Face	7	1	NA
34.518101	4.0006576874	2	3	study	AB	Face	3	1	NA
42.519989	4.0018496874	2	4	study	AB	Face	6	1	NA
48.523113	4.00105168700001	2	5	study	AB	Face	2	1	NA
56.525556	4.001656687	2	6	study	AB	Face	1	1	NA
62.528549	4.00100068699999	2	7	study	AB	Face	5	1	NA
68.530743	4.001093687	2	8	study	AB	Face	4	1	NA
74.532941	4.00122768699999	2	9	study	BC	Face	7	1	NA
82.535813	4.00139768699999	2	10	study	BC	Face	1	1	NA
94.538426	4.00341168699999	2	11	study	BC	Face	2	1	NA
100.543469	4.00070068699999	2	12	study	BC	Face	6	1	NA
106.545257	4.001202687	2	13	study	BC	Face	4	1	NA
114.54741	4.00213368699999	2	14	study	BC	Face	5	1	NA
122.551225	4.001407687	2	15	study	BC	Face	3	1	NA
132.554251	4.002206687	2	16	study	BC	Face	8	1	NA
148.728544	4.017464687	2	1	test	AC	Face	4	1	2428.81431258
158.747273	4.01926968700002	2	2	test	AC	Face	5	1	1295.71431258
164.768218	4.01732468700001	2	3	test	AC	Face	1	1	1694.34631258
174.786961	4.01908768699999	2	4	test	AC	Face	2	1	2335.20431258
186.807257	4.02008768699999	2	5	test	AC	Face	6	1	1859.65731258
198.828795	4.019842687	2	6	test	AC	Face	3	1	1590.33131258
204.850126	4.017467687	2	7	test	AC	Face	7	1	1510.31531258
214.86927	4.01886168700003	2	8	test	AC	Face	8	1	1610.98731258
220.889503	4.01762868700002	2	9	test	BC	Face	3	1	1222.12431258
226.908495	4.01759568699999	2	10	test	AB	Face	5	1	1074.65831258
238.92751	4.01986868699998	2	11	test	AB	Face	3	1	902.566312577
246.948792	4.01834168700001	2	12	test	AB	Face	6	1	1336.09531258
252.968877	4.017233687	2	13	test	BC	Face	4	1	1387.16831258
264.987566	4.01985668700002	2	14	test	BC	Face	2	1	1256.17531258
271.008512	4.01790568700002	2	15	test	AB	Face	4	1	1927.31731258
277.027497	4.01788768700004	2	16	test	BC	Face	7	1	1385.01731258
285.046895	4.01823168700002	2	17	test	AB	Face	7	1	1779.66831258
295.066475	4.01920068700006	2	18	test	BC	Face	1	1	1558.55031258
303.086764	4.01865468699997	2	19	test	BC	Face	5	1	1008.90831258
311.107342	4.01782768700004	2	20	test	AB	Face	1	1	1121.06931258
317.126304	4.01782268700004	2	21	test	BC	Face	6	1	1714.91131258
325.145607	4.018271687	2	22	test	BC	Face	8	1	1307.51231258
331.165483	4.01740368700004	2	23	test	AB	Face	2	1	974.048312577
337.184376	4.01746168700006	2	24	test	AB	Face	8	1	1561.82131258
18.5365	3.9936979576	3	1	study	AB	Scene	4	1	NA
24.53177	4.00075895759999	3	2	study	AB	Scene	5	0	NA
36.533972	4.00314395799999	3	3	study	AB	Scene	7	1	NA
42.538696	4.00074195799999	3	4	study	AB	Scene	1	1	NA
48.540969	4.00077095799999	3	5	study	AB	Scene	6	1	NA
54.543387	4.00069395799999	3	6	study	AB	Scene	2	1	NA
62.545695	4.001441958	3	7	study	AB	Scene	8	1	NA
70.54897	4.00122895800001	3	8	study	AB	Scene	3	1	NA
76.551577	4.000953958	3	9	study	BC	Scene	6	1	NA
82.55386	4.00096595799999	3	10	study	BC	Scene	7	1	NA
92.556134	4.00256195799998	3	11	study	BC	Scene	3	1	NA
98.560294	4.00069595800001	3	12	study	BC	Scene	8	1	NA
106.562226	4.00185795799999	3	13	study	BC	Scene	1	1	NA
116.565584	4.00232395799998	3	14	study	BC	Scene	4	1	NA
124.569589	4.00140195799999	3	15	study	BC	Scene	5	0	NA
130.57216	4.00116395799999	3	16	study	BC	Scene	2	1	NA
152.778443	4.020097958	3	1	test	AC	Scene	7	1	1686.9250424
164.799912	4.019915958	3	2	test	AC	Scene	6	1	2256.3640424
172.82122	4.01835195800001	3	3	test	AC	Scene	8	1	1392.7550424
180.841133	4.018189958	3	4	test	AC	Scene	2	1	2067.1750424
186.860534	4.01775195799998	3	5	test	AC	Scene	4	1	2452.0990424
194.879951	4.01812395799998	3	6	test	AC	Scene	1	1	1273.9500424
202.899829	4.01799895799995	3	7	test	AC	Scene	5	0	3432.0950424
210.919538	4.01803595799999	3	8	test	AC	Scene	3	1	1407.2880424
216.938723	4.01780895799998	3	9	test	BC	Scene	8	1	1530.3920424
228.957899	4.01992995799999	3	10	test	BC	Scene	7	1	1246.4570424
234.978998	4.01783095800001	3	11	test	AB	Scene	2	1	1482.1540424
244.9981	4.01924095799998	3	12	test	BC	Scene	4	1	1893.8970424
251.018929	4.017393958	3	13	test	AB	Scene	7	1	1789.7800424
257.037788	4.01753395799996	3	14	test	AB	Scene	3	1	1332.0680424
267.056924	4.01890195799997	3	15	test	BC	Scene	3	1	1624.3070424
273.077083	4.017741958	3	16	test	AB	Scene	4	1	2277.0320424
283.096275	4.01904795799998	3	17	test	AB	Scene	5	1	1397.6020424
289.117048	4.01727495799999	3	18	test	AB	Scene	1	1	1339.1330424
295.135598	4.01768495799997	3	19	test	AB	Scene	8	1	1165.1930424
303.154734	4.01829895799997	3	20	test	BC	Scene	5	1	1391.3110424
315.174249	4.02007495799998	3	21	test	AB	Scene	6	1	2326.8680424
325.195718	4.01914995799999	3	22	test	BC	Scene	2	1	2337.2550424
331.216177	4.01764795799996	3	23	test	BC	Scene	1	1	1072.9600424
337.235624	4.01720095799997	3	24	test	BC	Scene	6	1	1890.7060424
18.525371	3.9947670135	4	1	study	AB	Face	2	1	NA
24.521079	4.0013540135	4	2	study	AB	Face	5	1	NA
34.524093	4.0021760135	4	3	study	AB	Face	4	1	NA
42.527539	4.00180801350001	4	4	study	AB	Face	1	1	NA
48.530587	4.0010860135	4	5	study	AB	Face	3	1	NA
54.532998	4.0009750135	4	6	study	AB	Face	6	1	NA
64.535184	4.00262901300001	4	7	study	AB	Face	7	1	NA
72.539191	4.001698013	4	8	study	AB	Face	8	1	NA
84.542233	4.003282013	4	9	study	BC	Face	1	1	NA
90.54716	4.000691013	4	10	study	BC	Face	8	1	NA
102.54929	4.003144013	4	11	study	BC	Face	6	1	NA
108.553607	4.00115601299999	4	12	study	BC	Face	3	1	NA
114.556218	4.000835013	4	13	study	BC	Face	4	1	NA
126.558448	4.00323301299999	4	14	study	BC	Face	2	1	NA
132.563022	4.000955013	4	15	study	BC	Face	5	1	NA
138.565687	4.000618013	4	16	study	BC	Face	7	1	NA
156.738191	4.01844501300002	4	1	test	AC	Face	4	1	1691.78398655
162.758062	4.01754001299999	4	2	test	AC	Face	6	1	1282.82998655
168.777288	4.01730601299999	4	3	test	AC	Face	1	1	1901.96198655
176.796247	4.01810601300001	4	4	test	AC	Face	3	1	1064.34598655
188.815523	4.02011301300002	4	5	test	AC	Face	2	1	1734.92398655
194.837095	4.01754301299999	4	6	test	AC	Face	5	1	1462.22498655
204.85611	4.01903301300001	4	7	test	AC	Face	7	1	1450.33298655
216.876414	4.02001801300002	4	8	test	AC	Face	8	1	2403.38698655
222.89764	4.017792013	4	9	test	BC	Face	6	1	1184.43998655
228.916687	4.01770301299999	4	10	test	AB	Face	8	1	3404.03598655
236.935967	4.01817601300002	4	11	test	BC	Face	4	1	881.65398655
244.955497	4.01839601300002	4	12	test	BC	Face	1	1	1054.43198655
250.975357	4.017545013	4	13	test	BC	Face	5	1	1426.63098655
260.993989	4.01940901300003	4	14	test	AB	Face	3	1	882.25998655
267.014889	4.01750201299996	4	15	test	AB	Face	7	1	1111.14098655
275.034034	4.018107013	4	16	test	BC	Face	3	1	1080.67698655
281.053492	4.017640013	4	17	test	AB	Face	5	1	1325.30598655
287.072708	4.01739401300001	4	18	test	AB	Face	4	1	882.09998655
295.09159	4.01826601299999	4	19	test	BC	Face	2	1	1209.82598655
303.11132	4.018319013	4	20	test	BC	Face	8	1	1003.34598655
313.130654	4.01948501300003	4	21	test	AB	Face	2	1	1529.82698655
319.151284	4.017857013	4	22	test	AB	Face	6	1	880.84098655
331.170587	4.01984201299999	4	23	test	BC	Face	7	1	1648.37098655
337.192068	4.01732001299999	4	24	test	AB	Face	1	1	1929.30598655
16.557717	4.0057467073	5	1	study	AB	Scene	3	1	NA
22.564684	4.0011087073	5	2	study	AB	Scene	7	1	NA
30.566969	4.00190870729999	5	3	study	AB	Scene	6	1	NA
38.570236	4.0017057073	5	4	study	AB	Scene	5	1	NA
44.573438	4.000827707	5	5	study	AB	Scene	2	1	NA
54.575456	4.002634707	5	6	study	AB	Scene	1	1	NA
68.579073	4.004431707	5	7	study	AB	Scene	8	1	NA
74.585029	4.00076870700001	5	8	study	AB	Scene	4	1	NA
80.587294	4.00079670700002	5	9	study	BC	Scene	2	1	NA
88.589748	4.00142670700001	5	10	study	BC	Scene	6	1	NA
94.592371	4.001133707	5	11	study	BC	Scene	4	1	NA
100.594957	4.00083770700001	5	12	study	BC	Scene	8	1	NA
108.597131	4.001749707	5	13	study	BC	Scene	7	1	NA
116.600024	4.00193770699999	5	14	study	BC	Scene	1	1	NA
122.60352	4.00074070699999	5	15	study	BC	Scene	3	1	NA
134.605848	4.003030707	5	16	study	BC	Scene	5	1	NA
154.797589	4.01908570700002	5	1	test	AC	Scene	1	1	2513.90229273
160.818192	4.01744170699999	5	2	test	AC	Scene	8	1	1876.63229273
168.836663	4.01872370700003	5	3	test	AC	Scene	2	1	2674.66529273
174.856749	4.01763470699999	5	4	test	AC	Scene	6	1	1480.41229273
184.875808	4.01909370699999	5	5	test	AC	Scene	3	1	2629.10929273
190.896638	4.01724570699999	5	6	test	AC	Scene	4	1	2617.26129273
198.915027	4.01860470700002	5	7	test	AC	Scene	7	1	1584.83829273
204.934709	4.01791970699999	5	8	test	AC	Scene	5	1	3186.93429273
210.954221	4.01737170700004	5	9	test	BC	Scene	1	1	1299.85229273
218.973179	4.018166707	5	10	test	BC	Scene	3	1	1183.21229273
230.992646	4.019986707	5	11	test	AB	Scene	8	1	1438.27329273
237.013783	4.01784870700003	5	12	test	AB	Scene	3	1	1275.77229273
245.032866	4.01851770699999	5	13	test	BC	Scene	8	1	1253.17429273
251.052933	4.01741570700004	5	14	test	AB	Scene	4	1	1354.87629273
259.071941	4.01818970700004	5	15	test	AB	Scene	6	1	1592.89429273
265.091427	4.01766170699999	5	16	test	AB	Scene	1	1	1057.97329273
277.110734	4.01965070699999	5	17	test	BC	Scene	2	1	1424.73329273
289.131911	4.01976170699997	5	18	test	BC	Scene	7	1	1417.26629273
295.153013	4.01766070700006	5	19	test	BC	Scene	6	1	1203.78629273
305.172235	4.01893370700005	5	20	test	AB	Scene	2	1	1333.85129273
313.19254	4.01838170700002	5	21	test	AB	Scene	5	1	1355.54129273
325.212213	4.02000470700004	5	22	test	BC	Scene	5	1	1194.64229273
331.233872	4.01734670700005	5	23	test	BC	Scene	4	1	1896.60229273
337.25248	4.01769370700006	5	24	test	AB	Scene	7	1	1170.58129273
12.496316	3.99556963400001	6	1	study	AB	Face	4	1	NA
18.493377	4.000843634	6	2	study	AB	Face	5	1	NA
30.495456	4.003347634	6	3	study	AB	Face	2	1	NA
36.500016	4.00112263399998	6	4	study	AB	Face	6	1	NA
44.502551	4.001670634	6	5	study	AB	Face	1	1	NA
52.505629	4.001671634	6	6	study	AB	Face	3	1	NA
60.508464	4.00191963400001	6	7	study	AB	Face	7	1	NA
66.511613	4.00106763400001	6	8	study	AB	Face	8	1	NA
76.514052	4.00246263400001	6	9	study	BC	Face	4	1	NA
82.517865	4.00097963399999	6	10	study	BC	Face	7	1	NA
88.522381	3.99875363400001	6	11	study	BC	Face	5	1	NA
94.522867	4.00060363400001	6	12	study	BC	Face	3	1	NA
104.525028	4.00227263399999	6	13	study	BC	Face	2	1	NA
110.52863	4.00100763399999	6	14	study	BC	Face	1	1	NA
122.530901	4.00332163399999	6	15	study	BC	Face	6	1	NA
128.535285	4.00127163399998	6	16	study	BC	Face	8	1	NA
152.708591	4.02058863400001	6	1	test	AC	Face	8	1	1798.81736643
158.730256	4.01792263400002	6	2	test	AC	Face	5	1	919.460366432
166.749643	4.01829163399999	6	3	test	AC	Face	2	1	1899.04736643
176.769253	4.01918363399999	6	4	test	AC	Face	4	1	1895.26336643
184.790008	4.01821863399996	6	5	test	AC	Face	1	1	1612.64236643
194.809289	4.01943563399999	6	6	test	AC	Face	3	1	1928.72336643
200.830321	4.01739963399997	6	7	test	AC	Face	7	1	977.208366432
212.849244	4.01977863399999	6	8	test	AC	Face	6	1	2030.93236643
218.870472	4.01749863399996	6	9	test	AB	Face	8	1	1215.20336643
228.889451	4.01906663399999	6	10	test	AB	Face	5	1	1037.88536643
234.910026	4.01746863399999	6	11	test	AB	Face	4	1	829.387366432
242.929016	4.01824963400001	6	12	test	BC	Face	4	1	1010.39136643
248.94869	4.01753063399997	6	13	test	AB	Face	3	1	1218.65236643
258.967483	4.01928163399996	6	14	test	BC	Face	8	1	951.730366432
270.987875	4.02018063399999	6	15	test	AB	Face	2	1	1545.35336643
277.009337	4.01767563399998	6	16	test	BC	Face	7	1	1090.55236643
285.028257	4.01850863400003	6	17	test	AB	Face	1	1	1025.98336643
291.048076	4.01768963400001	6	18	test	BC	Face	1	1	1210.42836643
299.06691	4.01860663400003	6	19	test	BC	Face	5	1	948.813366432
305.087208	4.01727463400003	6	20	test	BC	Face	6	1	1128.96136643
313.106012	4.01824763399997	6	21	test	BC	Face	2	1	1302.12436643
319.125459	4.01776263400004	6	22	test	AB	Face	6	1	769.983366432
331.144827	4.01968863400002	6	23	test	BC	Face	3	1	1445.54336643
337.166042	4.01747363399999	6	24	test	AB	Face	7	1	1174.20636643
18.590404	3.9977054729	7	1	study	AB	Scene	7	1	NA
30.589115	4.00359547289999	7	2	study	AB	Scene	1	1	NA
36.594334	4.0006904729	7	3	study	AB	Scene	4	1	NA
44.597475	4.00063347299999	7	4	study	AB	Scene	8	1	NA
54.599556	4.002386473	7	5	study	AB	Scene	5	1	NA
60.603395	4.00087547300001	7	6	study	AB	Scene	6	1	NA
68.605639	4.001681473	7	7	study	AB	Scene	3	1	NA
80.608678	4.00325247299999	7	8	study	AB	Scene	2	1	NA
86.613012	4.00126147299998	7	9	study	BC	Scene	3	1	NA
96.615567	4.00254047299999	7	10	study	BC	Scene	5	1	NA
102.619382	4.00102347299999	7	11	study	BC	Scene	6	1	NA
110.621761	4.001722473	7	12	study	BC	Scene	4	1	NA
116.62488	4.00093647299998	7	13	study	BC	Scene	1	1	NA
124.627408	4.00149047299998	7	14	study	BC	Scene	8	1	NA
130.630499	4.00068947299999	7	15	study	BC	Scene	7	1	NA
138.632488	4.00178947299998	7	16	study	BC	Scene	2	1	NA
154.839681	4.01751647299997	7	1	test	AC	Scene	8	1	1460.88652709
166.858503	4.01998247299998	7	2	test	AC	Scene	5	1	1706.64452709
174.880283	4.01795147299999	7	3	test	AC	Scene	7	1	2196.15752709
180.899795	4.01739847299998	7	4	test	AC	Scene	1	1	1704.12052709
186.918345	4.01785147299999	7	5	test	AC	Scene	4	1	1706.30652709
194.937366	4.01857847299997	7	6	test	AC	Scene	6	1	2101.67452709
200.957402	4.017505473	7	7	test	AC	Scene	2	1	1601.96252709
206.97606	4.01784547299996	7	8	test	AC	Scene	3	1	1322.14152709
216.995089	4.019339473	7	9	test	BC	Scene	8	1	948.129527092
223.015673	4.01773147299996	7	10	test	AB	Scene	5	1	2515.38052709
231.034919	4.018244473	7	11	test	BC	Scene	6	1	1662.48952709
237.054416	4.01773347299997	7	12	test	BC	Scene	1	1	1745.79552709
245.073709	4.018192473	7	13	test	AB	Scene	2	1	1444.83552709
255.093224	4.01918147299997	7	14	test	AB	Scene	8	1	930.862527092
265.113478	4.01947047299996	7	15	test	BC	Scene	3	1	1148.79052709
271.13452	4.01742247299996	7	16	test	AB	Scene	7	1	1693.03252709
283.153093	4.02013847299997	7	17	test	BC	Scene	2	1	1065.14952709
289.174685	4.017505473	7	18	test	AB	Scene	3	1	970.639527092
299.193753	4.01898347299994	7	19	test	AB	Scene	1	1	1470.38752709
305.214265	4.01742847299995	7	20	test	BC	Scene	4	1	1358.52652709
317.232912	4.020092473	7	21	test	AB	Scene	6	1	3047.08352709
323.254857	4.01712447299994	7	22	test	BC	Scene	5	1	1925.41652709
331.273543	4.01819347299996	7	23	test	BC	Scene	7	1	1373.53252709
337.293149	4.01754547300003	7	24	test	AB	Scene	4	1	1496.75252709
12.596535	4.0048141719	8	1	study	AB	Face	6	1	NA
18.602967	4.0007081719	8	2	study	AB	Face	2	1	NA
28.604794	4.0027131719	8	3	study	AB	Face	1	1	NA
34.608773	4.00107017189999	8	4	study	AB	Face	4	1	NA
44.611252	4.00242817199999	8	5	study	AB	Face	3	1	NA
50.615147	4.000827172	8	6	study	AB	Face	8	1	NA
60.617114	4.002715172	8	7	study	AB	Face	5	1	NA
66.621617	4.000523172	8	8	study	AB	Face	7	1	NA
72.623684	4.000747172	8	9	study	BC	Face	5	1	NA
82.62566	4.00265217199999	8	10	study	BC	Face	6	1	NA
88.629732	4.000859172	8	11	study	BC	Face	8	1	NA
100.631844	4.003380172	8	12	study	BC	Face	1	1	NA
106.636542	4.00100917199999	8	13	study	BC	Face	4	1	NA
112.638954	4.000890172	8	14	study	BC	Face	7	1	NA
120.641538	4.00139417199999	8	15	study	BC	Face	3	1	NA
128.644194	4.00181717200002	8	16	study	BC	Face	2	1	NA
144.818181	4.01737617199999	8	1	test	AC	Face	4	1	2849.05982807
150.837286	4.017272172	8	2	test	AC	Face	8	1	1922.15082807
160.856022	4.01903317200003	8	3	test	AC	Face	1	1	1766.83882807
168.876452	4.01835517200001	8	4	test	AC	Face	5	1	2192.05082807
174.896532	4.017269172	8	5	test	AC	Face	7	1	2227.28782807
182.914915	4.01864217199999	8	6	test	AC	Face	2	1	1734.73782807
188.935186	4.01732817200001	8	7	test	AC	Face	6	1	1367.59482807
200.954111	4.01973017199998	8	8	test	AC	Face	3	1	1471.02482807
208.975422	4.01813517200001	8	9	test	BC	Face	6	1	2014.66682807
220.994963	4.01989217200002	8	10	test	AB	Face	5	1	1324.12782807
229.016292	4.01834717200001	8	11	test	BC	Face	7	1	1189.09282807
237.035902	4.01848517200002	8	12	test	BC	Face	1	1	2226.52982807
243.055473	4.01787717200001	8	13	test	BC	Face	3	1	1352.49682807
251.074656	4.01844517200001	8	14	test	AB	Face	6	1	851.258828074
263.094784	4.01961817200005	8	15	test	BC	Face	8	1	1673.42282807
269.115856	4.01753417199996	8	16	test	AB	Face	1	1	1087.40782807
277.134509	4.018633172	8	17	test	AB	Face	2	1	1256.37882807
283.154764	4.01734217199998	8	18	test	AB	Face	3	1	1383.64782807
295.173153	4.02023717199999	8	19	test	AB	Face	7	1	1589.08382807
301.194629	4.01776017199998	8	20	test	AB	Face	4	1	979.077828074
309.213716	4.01842517200002	8	21	test	AB	Face	8	1	1210.53282807
319.233261	4.01941917200002	8	22	test	BC	Face	2	1	862.616828073
331.254269	4.01968517200003	8	23	test	BC	Face	4	1	1488.78482807
337.275328	4.01760517200001	8	24	test	BC	Face	5	1	1651.54182807
