onset	duration	block	trial	phase	trialtype	category	pairnum	accuracy	test_RT
12.415751	3.99623127000004	1	1	study	AB	Scene	5	0	NA
18.413672	4.00062326999989	1	2	study	AB	Scene	6	0	NA
30.415762	4.00313527000008	1	3	study	AB	Scene	4	1	NA
36.420601	4.00060826999999	1	4	study	AB	Scene	3	0	NA
44.422626	4.00166727000003	1	5	study	AB	Scene	1	0	NA
52.425685	4.0016472699999	1	6	study	AB	Scene	7	1	NA
60.428523	4.00190026999991	1	7	study	AB	Scene	8	1	NA
66.431782	4.00096427	1	8	study	AB	Scene	2	0	NA
76.434329	4.0022532699999	1	9	study	BC	Scene	4	1	NA
82.437914	4.00096327000005	1	10	study	BC	Scene	8	1	NA
88.439845	4.00132426999995	1	11	study	BC	Scene	2	0	NA
94.442712	4.00078926999989	1	12	study	BC	Scene	3	0	NA
104.444812	4.00252026999989	1	13	study	BC	Scene	7	1	NA
110.448793	4.00083127000002	1	14	study	BC	Scene	1	0	NA
122.451049	4.00320226999989	1	15	study	BC	Scene	5	0	NA
128.45582	4.0007182699999	1	16	study	BC	Scene	6	0	NA
152.628818	4.02035126999996	1	1	test	AC	Scene	6	0	1995.55273217
158.650913	4.01725427000009	1	2	test	AC	Scene	4	1	1635.17673217
166.669348	4.01857327000005	1	3	test	AC	Scene	7	1	2173.04073217
176.6892	4.01921626999992	1	4	test	AC	Scene	2	0	1469.92073217
184.709998	4.01817027000003	1	5	test	AC	Scene	5	0	1330.87873217
194.729763	4.01890326999992	1	6	test	AC	Scene	8	1	1699.54473217
200.750066	4.01759726999991	1	7	test	AC	Scene	1	0	1820.79173217
212.769122	4.01984027000002	1	8	test	AC	Scene	3	0	1509.82473217
218.790675	4.01724426999997	1	9	test	BC	Scene	5	0	1499.42073217
228.809364	4.01907427000004	1	10	test	BC	Scene	3	1	1913.87873217
234.829819	4.01759927000004	1	11	test	AB	Scene	6	0	2413.00773217
242.848664	4.01851226999995	1	12	test	BC	Scene	8	1	1243.89473217
248.868554	4.01757327000005	1	13	test	AB	Scene	4	1	1830.11673217
258.8877	4.01895926999993	1	14	test	AB	Scene	8	1	1782.53273217
270.907883	4.0200582700001	1	15	test	BC	Scene	6	0	1567.69673217
276.938232	4.00868927000003	1	16	test	AB	Scene	5	0	1351.82873217
284.948502	4.01816527000011	1	17	test	AB	Scene	3	0	1265.61673217
290.968025	4.01763726999995	1	18	test	BC	Scene	4	1	1461.25673217
298.987063	4.01831727000006	1	19	test	BC	Scene	2	0	1615.15773217
305.007062	4.01731527000008	1	20	test	AB	Scene	7	1	1522.62273217
313.025773	4.01835527	1	21	test	BC	Scene	7	1	1663.74373217
