"Participant"	"ExperimentPhase"	"Category"	"TestType"	"PairType"	"Accuracy"	"Hemisphere"	"Area"	"ROIGroup"	"ROISize"	"Beta"
"sub-1013"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Ant Hipp Head"	"HC"	55	-1.05940229090909
"sub-1013"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"CA1"	"HC"	125	5.74857624
"sub-1013"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Sub"	"HC"	95	8.17593145263158
"sub-1013"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"CA23DG"	"HC"	231	-2.51356155844156
"sub-1013"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Hipp Tail"	"HC"	100	2.5705581
"sub-1013"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"PHC"	"MTL"	454	12.9304121674009
"sub-1013"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"alERC"	"MTL"	115	4.12509483478261
"sub-1013"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"PRC"	"MTL"	455	5.02880610989011
"sub-1013"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"pmERC"	"MTL"	89	5.22752471910112
"sub-1013"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"CA1"	"HC"	115	2.35510066086957
"sub-1013"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Hipp Tail"	"HC"	107	4.4296723364486
"sub-1013"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Sub"	"HC"	84	-2.67956971428571
"sub-1013"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"CA23DG"	"HC"	228	2.52136195614035
"sub-1013"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"PRC"	"MTL"	615	5.3984001495935
"sub-1013"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"alERC"	"MTL"	88	8.49883426136364
"sub-1013"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"PHC"	"MTL"	562	10.4458977864769
"sub-1013"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"pmERC"	"MTL"	70	4.07602695714286
"sub-1013"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Ant Hipp Head"	"HC"	42	0.17529280952381
"sub-1013"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"FFA"	"LocCat"	628	26.0304898821656
"sub-1013"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"FFA"	"LocCat"	58	45.1865097241379
"sub-1013"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"Ant Hipp Head"	"HC"	55	7.74025838181818
"sub-1013"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"CA1"	"HC"	125	1.731149656
"sub-1013"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"Sub"	"HC"	95	1.46236384210526
"sub-1013"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"CA23DG"	"HC"	231	0.625103606060606
"sub-1013"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"Hipp Tail"	"HC"	100	-0.03864663
"sub-1013"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"PHC"	"MTL"	454	9.77987488105727
"sub-1013"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"alERC"	"MTL"	115	0.733120573913044
"sub-1013"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"PRC"	"MTL"	455	4.7385696021978
"sub-1013"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"pmERC"	"MTL"	89	9.85794951685393
"sub-1013"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"CA1"	"HC"	115	3.08889935652174
"sub-1013"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"Hipp Tail"	"HC"	107	1.10703992523364
"sub-1013"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"Sub"	"HC"	84	-2.42198853571429
"sub-1013"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"CA23DG"	"HC"	228	2.68707603070175
"sub-1013"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"PRC"	"MTL"	615	4.04573974308943
"sub-1013"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"alERC"	"MTL"	88	4.78072943181818
"sub-1013"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"PHC"	"MTL"	562	7.17082880427046
"sub-1013"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"pmERC"	"MTL"	70	4.6864688
"sub-1013"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"Ant Hipp Head"	"HC"	42	3.23740638095238
"sub-1013"	"study"	"face"	"study"	"AB"	"Remembered"	"Right"	"FFA"	"LocCat"	628	24.6886207388535
"sub-1013"	"study"	"face"	"study"	"AB"	"Remembered"	"Left"	"FFA"	"LocCat"	58	43.6870497586207
"sub-1013"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"Ant Hipp Head"	"HC"	55	14.1982464727273
"sub-1013"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"CA1"	"HC"	125	0.156753824
"sub-1013"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"Sub"	"HC"	95	4.80113055789474
"sub-1013"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"CA23DG"	"HC"	231	2.1841066017316
"sub-1013"	"study"	"face"	"study"	"BC"	"Forgotten"	"Right"	"Hipp Tail"	"HC"	100	5.53734285
