"Participant"	"ExperimentPhase"	"Category"	"Hemisphere"	"Area"	"ROISize"	"Beta"
"sub-1030"	"localiser"	"face"	"Left"	"Ant Hipp Head"	90	-0.499631655555555
"sub-1030"	"localiser"	"face"	"Left"	"CA1"	134	4.07637163432836
"sub-1030"	"localiser"	"face"	"Left"	"CA23DG"	235	4.62319718297872
"sub-1030"	"localiser"	"face"	"Left"	"FFA"	218	26.606395266055
"sub-1030"	"localiser"	"face"	"Left"	"Hipp Tail"	69	5.712312
"sub-1030"	"localiser"	"face"	"Left"	"PHC"	398	-3.25679868341709
"sub-1030"	"localiser"	"face"	"Left"	"PRC"	981	0.247370085626911
"sub-1030"	"localiser"	"face"	"Left"	"Sub"	151	1.65655943708609
"sub-1030"	"localiser"	"face"	"Left"	"alERC"	196	-0.920850413265306
"sub-1030"	"localiser"	"face"	"Left"	"pmERC"	104	-3.08271730769231
"sub-1030"	"localiser"	"face"	"Right"	"Ant Hipp Head"	95	7.04276637894737
"sub-1030"	"localiser"	"face"	"Right"	"CA1"	144	2.14215692361111
"sub-1030"	"localiser"	"face"	"Right"	"CA23DG"	217	9.23453500921659
"sub-1030"	"localiser"	"face"	"Right"	"FFA"	271	49.0307003136531
"sub-1030"	"localiser"	"face"	"Right"	"Hipp Tail"	75	3.05618864
"sub-1030"	"localiser"	"face"	"Right"	"PHC"	352	-1.52638937784091
"sub-1030"	"localiser"	"face"	"Right"	"PRC"	591	3.20937465989848
"sub-1030"	"localiser"	"face"	"Right"	"Sub"	120	5.98583495
"sub-1030"	"localiser"	"face"	"Right"	"alERC"	206	1.38002408737864
"sub-1030"	"localiser"	"face"	"Right"	"pmERC"	107	-0.666312654205607
"sub-1030"	"localiser"	"obj"	"Left"	"Ant Hipp Head"	90	-3.39191856666667
"sub-1030"	"localiser"	"obj"	"Left"	"CA1"	134	0.347561052238806
"sub-1030"	"localiser"	"obj"	"Left"	"CA23DG"	235	3.66937634042553
"sub-1030"	"localiser"	"obj"	"Left"	"FFA"	218	-21.6443865825688
"sub-1030"	"localiser"	"obj"	"Left"	"Hipp Tail"	69	3.20318857971014
"sub-1030"	"localiser"	"obj"	"Left"	"PHC"	398	4.97201487939699
"sub-1030"	"localiser"	"obj"	"Left"	"PRC"	981	1.66741981345566
"sub-1030"	"localiser"	"obj"	"Left"	"Sub"	151	0.957113039735099
"sub-1030"	"localiser"	"obj"	"Left"	"alERC"	196	2.31145044897959
"sub-1030"	"localiser"	"obj"	"Left"	"pmERC"	104	0.191161509615385
"sub-1030"	"localiser"	"obj"	"Right"	"Ant Hipp Head"	95	3.19470322105263
"sub-1030"	"localiser"	"obj"	"Right"	"CA1"	144	3.10722891666667
"sub-1030"	"localiser"	"obj"	"Right"	"CA23DG"	217	4.72535717511521
"sub-1030"	"localiser"	"obj"	"Right"	"FFA"	271	-5.78905205535055
"sub-1030"	"localiser"	"obj"	"Right"	"Hipp Tail"	75	-1.62429749333333
"sub-1030"	"localiser"	"obj"	"Right"	"PHC"	352	5.10901978125
"sub-1030"	"localiser"	"obj"	"Right"	"PRC"	591	4.09183767174281
"sub-1030"	"localiser"	"obj"	"Right"	"Sub"	120	2.1407941
"sub-1030"	"localiser"	"obj"	"Right"	"alERC"	206	0.473692126213592
"sub-1030"	"localiser"	"obj"	"Right"	"pmERC"	107	7.84532326168224
"sub-1030"	"localiser"	"scene"	"Left"	"Ant Hipp Head"	90	-3.98752945555556
"sub-1030"	"localiser"	"scene"	"Left"	"CA1"	134	1.54908270149254
"sub-1030"	"localiser"	"scene"	"Left"	"CA23DG"	235	2.68548712340426
"sub-1030"	"localiser"	"scene"	"Left"	"FFA"	218	-44.1836284174312
"sub-1030"	"localiser"	"scene"	"Left"	"Hipp Tail"	69	1.05518513043478
"sub-1030"	"localiser"	"scene"	"Left"	"PHC"	398	18.5590009396985
"sub-1030"	"localiser"	"scene"	"Left"	"PRC"	981	2.15588503261978
"sub-1030"	"localiser"	"scene"	"Left"	"Sub"	151	4.10109454966887
"sub-1030"	"localiser"	"scene"	"Left"	"alERC"	196	2.15480769897959
"sub-1030"	"localiser"	"scene"	"Left"	"pmERC"	104	3.85595967307692
"sub-1030"	"localiser"	"scene"	"Right"	"Ant Hipp Head"	95	6.71633367368421
"sub-1030"	"localiser"	"scene"	"Right"	"CA1"	144	-0.506246458333333
"sub-1030"	"localiser"	"scene"	"Right"	"CA23DG"	217	5.23549950230415
"sub-1030"	"localiser"	"scene"	"Right"	"FFA"	271	-32.9806300701107
"sub-1030"	"localiser"	"scene"	"Right"	"Hipp Tail"	75	-0.518870453333334
"sub-1030"	"localiser"	"scene"	"Right"	"PHC"	352	31.1689008181818
"sub-1030"	"localiser"	"scene"	"Right"	"PRC"	591	4.33515250930626
"sub-1030"	"localiser"	"scene"	"Right"	"Sub"	120	4.409738225
"sub-1030"	"localiser"	"scene"	"Right"	"alERC"	206	4.85543439320388
"sub-1030"	"localiser"	"scene"	"Right"	"pmERC"	107	22.3553364299065
