"Participant"	"ExperimentPhase"	"Category"	"TestType"	"PairType"	"Accuracy"	"Hemisphere"	"Area"	"ROIGroup"	"ROISize"	"Beta"
"sub-1041"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Ant Hipp Head"	"HC"	119	6.13945866386555
"sub-1041"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"CA1"	"HC"	172	-0.613515982558139
"sub-1041"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Sub"	"HC"	105	0.107711771428571
"sub-1041"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"CA23DG"	"HC"	290	2.82758373793103
"sub-1041"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Hipp Tail"	"HC"	57	4.85972742105263
"sub-1041"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"PHC"	"MTL"	592	10.5794416131757
"sub-1041"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"alERC"	"MTL"	125	3.74891476
"sub-1041"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"PRC"	"MTL"	805	5.61513797639752
"sub-1041"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"pmERC"	"MTL"	73	-0.968735698630137
"sub-1041"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"CA1"	"HC"	173	5.69542046242775
"sub-1041"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Hipp Tail"	"HC"	62	1.77631117741935
"sub-1041"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Sub"	"HC"	86	1.7921446627907
"sub-1041"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"CA23DG"	"HC"	316	-0.33374760443038
"sub-1041"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"PRC"	"MTL"	953	1.49013242392445
"sub-1041"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"alERC"	"MTL"	119	2.93224298319328
"sub-1041"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"PHC"	"MTL"	530	3.71373046226415
"sub-1041"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"pmERC"	"MTL"	71	5.34338005633803
"sub-1041"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Ant Hipp Head"	"HC"	112	1.93616780357143
