block	trial	phase	pairtype	category	pairnum	fix_x_pos	fix_y_pos	fix_start_time	fix_end_time	fix_dwell_time	ia_side	ia_item_category	ia_item_type
1	1	study	AB	Face	7	331.6	484.6	8368	8648	280	Left	Object	Unique
1	1	study	AB	Face	7	687.3	408.5	8705	8863	158	Right	Face	Linking
1	1	study	AB	Face	7	259.6	444.7	9313	9560	247	Left	Object	Unique
1	1	study	AB	Face	7	751.3	424.2	9617	9851	234	Right	Face	Linking
1	1	study	AB	Face	7	784.4	404.2	9878	10052	174	Right	Face	Linking
1	1	study	AB	Face	7	249.7	430.5	10111	10717	606	Left	Object	Unique
1	2	study	AB	Face	8	360.3	444.7	7924	8249	325	Left	Object	Unique
1	2	study	AB	Face	8	278.4	424.4	8271	8541	270	Left	Object	Unique
1	2	study	AB	Face	8	256.5	425.1	8707	9091	384	Left	Object	Unique
1	2	study	AB	Face	8	634.1	409.7	9137	9249	112	Right	Face	Linking
1	2	study	AB	Face	8	733.3	391.5	9274	9480	206	Right	Face	Linking
1	2	study	AB	Face	8	775.4	377.2	9494	9516	22	Right	Face	Linking
1	2	study	AB	Face	8	773	381.4	9537	9597	60	Right	Face	Linking
1	2	study	AB	Face	8	773.3	389.8	9625	9693	68	Right	Face	Linking
1	2	study	AB	Face	8	773.7	404.5	9714	9910	196	Right	Face	Linking
1	2	study	AB	Face	8	774.2	410.1	9931	10210	279	Right	Face	Linking
1	3	study	AB	Face	4	280.6	435.9	1941	2141	200	Left	Face	Linking
1	3	study	AB	Face	4	270.6	427.7	2151	2303	152	Left	Face	Linking
1	3	study	AB	Face	4	748.6	382.8	2354	2793	439	Right	Object	Unique
1	3	study	AB	Face	4	725	373.6	2991	3140	149	Right	Object	Unique
1	3	study	AB	Face	4	250.9	435.9	3188	3758	570	Left	Face	Linking
1	3	study	AB	Face	4	264.8	450.3	4352	4520	168	Left	Face	Linking
1	3	study	AB	Face	4	268.5	454.5	4541	4575	34	Left	Face	Linking
1	3	study	AB	Face	4	271.6	454.2	4621	4664	43	Left	Face	Linking
1	3	study	AB	Face	4	281.2	440.5	4686	4689	3	Left	Face	Linking
1	4	study	AB	Face	3	291.7	428.3	3914	4094	180	Left	Face	Linking
1	4	study	AB	Face	3	256.6	424.2	4114	4404	290	Left	Face	Linking
1	4	study	AB	Face	3	739	391.6	4453	4781	328	Right	Object	Unique
1	5	study	AB	Face	6	283.3	453.3	5947	6153	206	Left	Face	Linking
1	5	study	AB	Face	6	260.1	448.2	6171	6206	35	Left	Face	Linking
1	5	study	AB	Face	6	257.3	436.2	6227	6396	169	Left	Face	Linking
1	5	study	AB	Face	6	276.6	419.2	6406	6575	169	Left	Face	Linking
1	5	study	AB	Face	6	741.6	392.6	6626	6753	127	Right	Object	Unique
1	6	study	AB	Face	5	319.1	423.7	1986	2216	230	Left	Object	Unique
1	6	study	AB	Face	5	722.8	409.4	2269	2416	147	Right	Face	Linking
1	6	study	AB	Face	5	748.8	434.7	2633	2711	78	Right	Face	Linking
1	6	study	AB	Face	5	774	421.7	2734	3329	595	Right	Face	Linking
1	7	study	AB	Face	1	293.2	410.4	3992	4345	353	Left	Face	Linking
1	7	study	AB	Face	1	727.7	364.3	4394	4634	240	Right	Object	Unique
1	7	study	AB	Face	1	353.1	443.7	4879	4968	89	Left	Face	Linking
1	7	study	AB	Face	1	258.4	415.1	5000	5597	597	Left	Face	Linking
1	8	study	AB	Face	2	325.1	416.6	8028	8344	316	Left	Object	Unique
1	8	study	AB	Face	2	768.2	388.3	8392	8697	305	Right	Face	Linking
1	9	study	BC	Face	6	288.4	428	2044	2678	634	Left	Object	Unique
1	9	study	BC	Face	6	709	403.4	2760	2893	133	Right	Face	Linking
1	9	study	BC	Face	6	776.4	398	2919	3327	408	Right	Face	Linking
1	9	study	BC	Face	6	198	484.5	3588	3742	154	Left	Object	Unique
1	9	study	BC	Face	6	270	461.3	3794	4027	233	Left	Object	Unique
1	9	study	BC	Face	6	300.6	439.3	4048	4499	451	Left	Object	Unique
1	9	study	BC	Face	6	396.8	512.2	4535	4723	188	Left	Object	Unique
1	10	study	BC	Face	4	318.1	428.6	6012	6363	351	Left	Object	Unique
1	10	study	BC	Face	4	772.3	403.2	6414	6924	510	Right	Face	Linking
1	10	study	BC	Face	4	387.2	509.2	6985	7473	488	Left	Object	Unique
1	11	study	BC	Face	7	310	399.6	2039	2219	180	Left	Face	Linking
1	11	study	BC	Face	7	269.5	401.6	2238	2427	189	Left	Face	Linking
1	11	study	BC	Face	7	796.6	343.9	2560	2774	214	Right	Object	Unique
1	11	study	BC	Face	7	235.4	416.3	4076	4248	172	Left	Face	Linking
1	11	study	BC	Face	7	268	400.8	4268	4708	440	Left	Face	Linking
1	12	study	BC	Face	1	298.8	413.3	3998	4237	239	Left	Object	Unique
1	12	study	BC	Face	1	730.5	383.3	4289	4444	155	Right	Face	Linking
1	12	study	BC	Face	1	788.8	378.9	4502	4535	33	Right	Face	Linking
1	12	study	BC	Face	1	783.1	380.9	4571	4677	106	Right	Face	Linking
1	12	study	BC	Face	1	777.6	402.4	4698	5322	624	Right	Face	Linking
1	12	study	BC	Face	1	655.2	513.3	5641	5970	329	Right	Face	Linking
1	13	study	BC	Face	5	271.6	435.3	1950	2187	237	Left	Face	Linking
1	13	study	BC	Face	5	785.5	413.5	2249	2519	270	Right	Object	Unique
1	13	study	BC	Face	5	784.2	342.7	2538	2866	328	Right	Object	Unique
1	13	study	BC	Face	5	330.9	435.6	3039	3180	141	Left	Face	Linking
1	13	study	BC	Face	5	273.6	420	3200	3251	51	Left	Face	Linking
1	13	study	BC	Face	5	269.5	405.5	3287	3337	50	Left	Face	Linking
1	13	study	BC	Face	5	266.3	399.7	3377	3476	99	Left	Face	Linking
1	13	study	BC	Face	5	261.8	399.2	3500	3544	44	Left	Face	Linking
1	14	study	BC	Face	2	340.5	394.1	3993	4295	302	Left	Face	Linking
1	14	study	BC	Face	2	269.6	417.2	4315	4827	512	Left	Face	Linking
1	14	study	BC	Face	2	693.6	422.1	4885	4961	76	Right	Object	Unique
1	14	study	BC	Face	2	261	428.5	5395	6467	1072	Left	Face	Linking
1	15	study	BC	Face	3	292.8	441.7	2056	2275	219	Left	Object	Unique
1	15	study	BC	Face	3	761	401.8	2324	2714	390	Right	Face	Linking
1	16	study	BC	Face	8	268.2	430.5	4204	4577	373	Left	Face	Linking
1	16	study	BC	Face	8	712.6	428	4625	4989	364	Right	Object	Unique
1	16	study	BC	Face	8	772.3	348.5	5012	5381	369	Right	Object	Unique
2	1	study	AB	Scene	6	309.1	428.9	2433	2645	212	Left	Scene	Linking
2	1	study	AB	Scene	6	309.1	420.3	2672	2748	76	Left	Scene	Linking
2	1	study	AB	Scene	6	268	430.2	2763	2999	236	Left	Scene	Linking
2	1	study	AB	Scene	6	703.3	387.9	3043	3589	546	Right	Object	Unique
2	1	study	AB	Scene	6	292.9	491.2	4073	4093	20	Left	Scene	Linking
2	1	study	AB	Scene	6	291.3	468.6	4197	4302	105	Left	Scene	Linking
2	1	study	AB	Scene	6	288.8	457.6	4323	4412	89	Left	Scene	Linking
2	1	study	AB	Scene	6	694.8	410.5	4457	4522	65	Right	Object	Unique
2	1	study	AB	Scene	6	699.1	413.7	4543	4678	135	Right	Object	Unique
2	1	study	AB	Scene	6	284.6	453.7	4762	4782	20	Left	Scene	Linking
2	1	study	AB	Scene	6	284.1	456	4806	4844	38	Left	Scene	Linking
2	1	study	AB	Scene	6	286.4	463	4865	4973	108	Left	Scene	Linking
2	1	study	AB	Scene	6	286.8	464	4995	5027	32	Left	Scene	Linking
2	2	study	AB	Scene	7	297.3	443.4	1934	2259	325	Left	Object	Unique
2	2	study	AB	Scene	7	295.4	426.8	2280	2339	59	Left	Object	Unique
2	2	study	AB	Scene	7	283.1	425.7	2405	2484	79	Left	Object	Unique
2	2	study	AB	Scene	7	707.6	411.4	2530	2836	306	Right	Scene	Linking
2	2	study	AB	Scene	7	762.1	413.3	3024	3310	286	Right	Scene	Linking
2	2	study	AB	Scene	7	301.7	462.5	3363	3425	62	Left	Object	Unique
2	2	study	AB	Scene	7	295.2	457.5	3447	3620	173	Left	Object	Unique
2	2	study	AB	Scene	7	292.4	438.6	3641	3873	232	Left	Object	Unique
2	3	study	AB	Scene	3	269.3	445.8	5965	6090	125	Left	Scene	Linking
2	3	study	AB	Scene	3	268.8	445.4	6111	6314	203	Left	Scene	Linking
2	3	study	AB	Scene	3	256.1	439.1	6339	6457	118	Left	Scene	Linking
2	3	study	AB	Scene	3	684.5	403.9	6714	6806	92	Right	Object	Unique
2	3	study	AB	Scene	3	774.5	410.5	6830	6935	105	Right	Object	Unique
2	3	study	AB	Scene	3	775.2	436.1	6956	7370	414	Right	Object	Unique
2	4	study	AB	Scene	1	286.9	420.8	1987	2179	192	Left	Object	Unique
2	4	study	AB	Scene	1	718.6	386.8	2227	2447	220	Right	Scene	Linking
2	4	study	AB	Scene	1	786.1	377.3	2466	3003	537	Right	Scene	Linking
2	5	study	AB	Scene	2	301.2	425.1	6026	6558	532	Left	Scene	Linking
2	5	study	AB	Scene	2	684.6	380.8	6607	6751	144	Right	Object	Unique
2	5	study	AB	Scene	2	688.7	487.6	7065	7436	371	Right	Object	Unique
2	5	study	AB	Scene	2	289.3	488.1	8083	8135	52	Left	Scene	Linking
2	5	study	AB	Scene	2	288.4	476.2	8157	8237	80	Left	Scene	Linking
2	5	study	AB	Scene	2	288.5	471.4	8259	8314	55	Left	Scene	Linking
2	6	study	AB	Scene	4	311.5	413.4	2031	2065	34	Left	Object	Unique
2	6	study	AB	Scene	4	309.1	414.9	2086	2233	147	Left	Object	Unique
2	6	study	AB	Scene	4	698.1	431.5	2289	2421	132	Right	Scene	Linking
2	6	study	AB	Scene	4	700.2	428	2442	2475	33	Right	Scene	Linking
2	6	study	AB	Scene	4	783.5	412.8	2531	2878	347	Right	Scene	Linking
2	6	study	AB	Scene	4	309.4	441.3	2932	3066	134	Left	Object	Unique
2	7	study	AB	Scene	8	384.8	402.4	6022	6041	19	Left	Scene	Linking
2	7	study	AB	Scene	8	369.8	396.7	6064	6166	102	Left	Scene	Linking
2	7	study	AB	Scene	8	290	407.8	6186	6322	136	Left	Scene	Linking
2	7	study	AB	Scene	8	290.7	408.9	6344	6364	20	Left	Scene	Linking
2	7	study	AB	Scene	8	751.1	365.3	6440	6636	196	Right	Object	Unique
