onset	duration	block	trial	phase	trialtype	category	pairnum	accuracy	test_RT
12.539692	3.99818891000007	1	1	study	AB	Scene	6	0	NA
18.53955	4.00062191000003	1	2	study	AB	Scene	7	0	NA
28.541404	4.00260091000014	1	3	study	AB	Scene	3	0	NA
34.545668	4.00066991	1	4	study	AB	Scene	1	0	NA
44.547655	4.00251691000003	1	5	study	AB	Scene	2	1	NA
50.551489	4.0009759100001	1	6	study	AB	Scene	4	0	NA
60.55397	4.00232890999989	1	7	study	AB	Scene	8	0	NA
66.558035	4.00059390999997	1	8	study	AB	Scene	5	1	NA
72.560107	4.00082091000008	1	9	study	BC	Scene	2	1	NA
82.562357	4.00243691	1	10	study	BC	Scene	3	0	NA
88.566372	4.00071291000021	1	11	study	BC	Scene	1	0	NA
100.568503	4.00320891000007	1	12	study	BC	Scene	6	0	NA
106.573497	4.00050791000013	1	13	study	BC	Scene	8	0	NA
112.575602	4.00069191000001	1	14	study	BC	Scene	7	0	NA
120.577665	4.00171491000014	1	15	study	BC	Scene	5	1	NA
128.580805	4.00166190999997	1	16	study	BC	Scene	4	0	NA
144.770885	4.01778691000002	1	1	test	AC	Scene	7	0	0
150.789929	4.01774691000022	1	2	test	AC	Scene	5	1	2804.08308554
160.809054	4.01911891000019	1	3	test	AC	Scene	3	0	3957.46108554
168.829371	4.01855191000018	1	4	test	AC	Scene	4	0	3460.77308554
174.849384	4.01753690999988	1	5	test	AC	Scene	6	0	2235.57308554
182.868606	4.01806991000022	1	6	test	AC	Scene	8	0	2673.47108554
188.888121	4.01750990999982	1	7	test	AC	Scene	2	1	1285.96408554
200.9073	4.01962491000007	1	8	test	AC	Scene	1	0	2583.20108554
208.928618	4.01806091000026	1	9	test	BC	Scene	8	1	1517.18808554
220.948304	4.01965891000023	1	10	test	BC	Scene	7	1	1363.22408554
228.969315	4.01839791000023	1	11	test	AB	Scene	7	1	1853.80008554
236.988973	4.01849491000012	1	12	test	AB	Scene	5	1	2128.55408554
243.008755	4.01766890999989	1	13	test	AB	Scene	2	1	1851.14808554
251.027743	4.01843291000024	1	14	test	BC	Scene	1	1	1770.80808554
263.048504	4.01896290999994	1	15	test	AB	Scene	1	1	1604.61208554
