onset	duration	block	trial	phase	trialtype	category	pairnum	accuracy	test_RT
12.504271	4.00422336000013	1	1	study	AB	Scene	5	0	NA
18.509965	4.00081736000007	1	2	study	AB	Scene	6	0	NA
30.512132	4.00327536000007	1	3	study	AB	Scene	4	1	NA
36.516854	4.00084336000011	1	4	study	AB	Scene	3	1	NA
44.519238	4.00154436000007	1	5	study	AB	Scene	1	1	NA
52.522315	4.00155035999994	1	6	study	AB	Scene	7	1	NA
60.525073	4.00187236000002	1	7	study	AB	Scene	8	1	NA
66.528343	4.00089936000004	1	8	study	AB	Scene	2	0	NA
76.530525	4.00254536000002	1	9	study	BC	Scene	4	1	NA
82.534119	4.00128936	1	10	study	BC	Scene	8	1	NA
88.537036	4.00067236000006	1	11	study	BC	Scene	2	0	NA
94.539278	4.00074836000001	1	12	study	BC	Scene	3	1	NA
104.541667	4.00219536000014	1	13	study	BC	Scene	7	1	NA
110.545108	4.00104936000008	1	14	study	BC	Scene	1	1	NA
122.547479	4.00330835999995	1	15	study	BC	Scene	5	0	NA
128.551999	4.00107535999997	1	16	study	BC	Scene	6	0	NA
152.725045	4.02066435999997	1	1	test	AC	Scene	6	0	2403.95663796
158.746887	4.01781336000015	1	2	test	AC	Scene	4	1	3446.14363796
166.765731	4.01872136	1	3	test	AC	Scene	7	1	3126.40463796
176.786064	4.01888436000003	1	4	test	AC	Scene	2	0	0
184.806259	4.01844035999998	1	5	test	AC	Scene	5	0	2479.74863796
194.826316	4.0189153600001	1	6	test	AC	Scene	8	1	1643.73163796
200.846598	4.01761736000003	1	7	test	AC	Scene	1	1	2329.46363796
212.865349	4.02014435999998	1	8	test	AC	Scene	3	1	1960.94663796
218.886958	4.01753336000009	1	9	test	BC	Scene	5	1	1571.86863796
228.905438	4.01955336000011	1	10	test	BC	Scene	3	1	1192.06163796
234.926326	4.01766435999994	1	11	test	AB	Scene	6	0	2011.86163796
242.945149	4.0185923600001	1	12	test	BC	Scene	8	1	1060.07063796
248.964999	4.01771035999997	1	13	test	AB	Scene	4	1	1434.52163795
258.984287	4.01895635999995	1	14	test	AB	Scene	8	1	1365.21863796
271.004456	4.02005636000005	1	15	test	BC	Scene	6	1	1740.25363796
277.025808	4.01768235999992	1	16	test	AB	Scene	5	0	1993.32563796
285.045014	4.0182333599999	1	17	test	AB	Scene	3	1	1171.51363796
291.06434	4.01788935999997	1	18	test	BC	Scene	4	1	1380.28563796
299.08389	4.01809935999999	1	19	test	BC	Scene	2	1	2067.67363796
305.103478	4.01747435999999	1	20	test	AB	Scene	7	1	1361.96763796
313.122786	4.01791735999991	1	21	test	BC	Scene	7	1	1608.21263796
319.142281	4.01741835999995	1	22	test	BC	Scene	1	1	1609.74563796
331.16134	4.01960836000001	1	23	test	AB	Scene	1	1	1918.16363796
337.182394	4.01755336000014	1	24	test	AB	Scene	2	1	1104.17663796
14.498935	3.9948341025	2	1	study	AB	Face	2	1	NA
26.495173	4.00318710200001	2	2	study	AB	Face	1	1	NA
32.499776	4.000919102	2	3	study	AB	Face	4	1	NA
38.501967	4.001009102	2	4	study	AB	Face	8	1	NA
44.504061	4.00125410199999	2	5	study	AB	Face	5	0	NA
52.506479	4.001876102	2	6	study	AB	Face	3	1	NA
