"Participant"	"ExperimentPhase"	"Category"	"Hemisphere"	"Area"	"ROISize"	"Beta"
"sub-1035"	"localiser"	"face"	"Left"	"Ant Hipp Head"	85	0.712708129411765
"sub-1035"	"localiser"	"face"	"Left"	"CA1"	164	3.60397325
"sub-1035"	"localiser"	"face"	"Left"	"CA23DG"	263	4.04987358935361
"sub-1035"	"localiser"	"face"	"Left"	"Hipp Tail"	114	1.25464807894737
"sub-1035"	"localiser"	"face"	"Left"	"PHC"	541	-2.90635459149723
"sub-1035"	"localiser"	"face"	"Left"	"PRC"	981	0.882582991845056
"sub-1035"	"localiser"	"face"	"Left"	"Sub"	129	2.12643424806202
"sub-1035"	"localiser"	"face"	"Left"	"alERC"	179	1.02268135195531
"sub-1035"	"localiser"	"face"	"Left"	"pmERC"	117	-2.57123927350427
"sub-1035"	"localiser"	"face"	"Right"	"Ant Hipp Head"	109	8.20329144036697
"sub-1035"	"localiser"	"face"	"Right"	"CA1"	168	0.453748547619048
"sub-1035"	"localiser"	"face"	"Right"	"CA23DG"	291	5.728873395189
"sub-1035"	"localiser"	"face"	"Right"	"Hipp Tail"	74	1.23404852702703
"sub-1035"	"localiser"	"face"	"Right"	"PHC"	436	-4.439558
"sub-1035"	"localiser"	"face"	"Right"	"PRC"	596	0.822304186241611
"sub-1035"	"localiser"	"face"	"Right"	"Sub"	133	0.909784812030075
"sub-1035"	"localiser"	"face"	"Right"	"alERC"	172	4.75641348837209
"sub-1035"	"localiser"	"face"	"Right"	"pmERC"	115	5.44553666956522
"sub-1035"	"localiser"	"obj"	"Left"	"Ant Hipp Head"	85	-0.405858729411765
"sub-1035"	"localiser"	"obj"	"Left"	"CA1"	164	5.11095994512195
"sub-1035"	"localiser"	"obj"	"Left"	"CA23DG"	263	5.45931148288973
"sub-1035"	"localiser"	"obj"	"Left"	"Hipp Tail"	114	-0.564260973684211
"sub-1035"	"localiser"	"obj"	"Left"	"PHC"	541	2.5359190961183
"sub-1035"	"localiser"	"obj"	"Left"	"PRC"	981	2.29790966360856
"sub-1035"	"localiser"	"obj"	"Left"	"Sub"	129	1.67083404651163
"sub-1035"	"localiser"	"obj"	"Left"	"alERC"	179	3.2161055698324
"sub-1035"	"localiser"	"obj"	"Left"	"pmERC"	117	4.14524692307692
"sub-1035"	"localiser"	"obj"	"Right"	"Ant Hipp Head"	109	5.02122632110092
"sub-1035"	"localiser"	"obj"	"Right"	"CA1"	168	3.50219647619048
"sub-1035"	"localiser"	"obj"	"Right"	"CA23DG"	291	5.33883175601375
"sub-1035"	"localiser"	"obj"	"Right"	"Hipp Tail"	74	-2.79245759459459
"sub-1035"	"localiser"	"obj"	"Right"	"PHC"	436	5.03730410091743
"sub-1035"	"localiser"	"obj"	"Right"	"PRC"	596	4.64613767114094
"sub-1035"	"localiser"	"obj"	"Right"	"Sub"	133	4.37817091729323
"sub-1035"	"localiser"	"obj"	"Right"	"alERC"	172	4.76232684302326
"sub-1035"	"localiser"	"obj"	"Right"	"pmERC"	115	6.77923773043478
"sub-1035"	"localiser"	"scene"	"Left"	"Ant Hipp Head"	85	-0.472080776470588
"sub-1035"	"localiser"	"scene"	"Left"	"CA1"	164	3.00666601829268
"sub-1035"	"localiser"	"scene"	"Left"	"CA23DG"	263	3.30931414828897
"sub-1035"	"localiser"	"scene"	"Left"	"Hipp Tail"	114	-1.27053015789474
"sub-1035"	"localiser"	"scene"	"Left"	"PHC"	541	13.7991352162662
"sub-1035"	"localiser"	"scene"	"Left"	"PRC"	981	-0.99478079714577
"sub-1035"	"localiser"	"scene"	"Left"	"Sub"	129	-1.09800968992248
"sub-1035"	"localiser"	"scene"	"Left"	"alERC"	179	2.68211606145251
"sub-1035"	"localiser"	"scene"	"Left"	"pmERC"	117	7.56875709401709
"sub-1035"	"localiser"	"scene"	"Right"	"Ant Hipp Head"	109	5.85665903669725
"sub-1035"	"localiser"	"scene"	"Right"	"CA1"	168	1.15241605952381
"sub-1035"	"localiser"	"scene"	"Right"	"CA23DG"	291	5.43525621649485
"sub-1035"	"localiser"	"scene"	"Right"	"Hipp Tail"	74	-1.6417847972973
"sub-1035"	"localiser"	"scene"	"Right"	"PHC"	436	18.8933304151376
"sub-1035"	"localiser"	"scene"	"Right"	"PRC"	596	2.07780360402685
"sub-1035"	"localiser"	"scene"	"Right"	"Sub"	133	2.23236159398496
"sub-1035"	"localiser"	"scene"	"Right"	"alERC"	172	6.62125897674419
"sub-1035"	"localiser"	"scene"	"Right"	"pmERC"	115	11.9140173652174
