onset	duration	block	trial	phase	trialtype	category	pairnum	accuracy	test_RT
18.53448	4.00613462500005	1	1	study	AB	Face	7	1	NA
30.542176	4.00303762499998	1	2	study	AB	Face	8	0	NA
36.546351	4.00119762499993	1	3	study	AB	Face	4	1	NA
44.549315	4.00127862499998	1	4	study	AB	Face	3	1	NA
54.551673	4.002771625	1	5	study	AB	Face	6	0	NA
60.555594	4.00115462500001	1	6	study	AB	Face	5	0	NA
68.558569	4.00126862500004	1	7	study	AB	Face	1	1	NA
80.561187	4.00323861999999	1	8	study	AB	Face	2	1	NA
86.565803	4.00095261999995	1	9	study	BC	Face	6	0	NA
96.567839	4.00274662000002	1	10	study	BC	Face	4	1	NA
102.571759	4.00112062000002	1	11	study	BC	Face	7	1	NA
110.57415	4.00181461999999	1	12	study	BC	Face	1	1	NA
116.577496	4.00075162000004	1	13	study	BC	Face	5	0	NA
124.579995	4.00134361999994	1	14	study	BC	Face	2	1	NA
130.582786	4.00084261999998	1	15	study	BC	Face	3	1	NA
138.584871	4.00184161999999	1	16	study	BC	Face	8	0	NA
154.775682	4.01723662000001	1	1	test	AC	Face	6	0	0
166.794699	4.01951362000001	1	2	test	AC	Face	8	0	3121.38437524
174.815504	4.01845261999997	1	3	test	AC	Face	4	1	3563.85837524
180.835299	4.01766362000001	1	4	test	AC	Face	5	0	2184.63137524
186.854191	4.01773062000005	1	5	test	AC	Face	3	1	2543.95337524
194.873166	4.0185076199999	1	6	test	AC	Face	2	1	3106.72337524
200.893038	4.01759562000009	1	7	test	AC	Face	1	1	2557.38437524
206.912518	4.01711161999989	1	8	test	AC	Face	7	1	3186.06037524
216.930831	4.01929561999987	1	9	test	BC	Face	2	1	3500.80537524
222.951433	4.01768862	1	10	test	BC	Face	1	1	1206.82337524
230.970491	4.01835161999989	1	11	test	AB	Face	4	1	1797.95237524
236.990059	4.01778062000009	1	12	test	BC	Face	4	1	1333.65237524
245.009505	4.01807761999988	1	13	test	BC	Face	5	1	2789.40437524
255.028905	4.01919862000007	1	14	test	BC	Face	3	1	1508.84837524
265.049632	4.01900061999995	1	15	test	AB	Face	8	1	1503.47337524
271.070008	4.0175786200001	1	16	test	AB	Face	6	1	1121.47537524
283.089031	4.01984561999986	1	17	test	AB	Face	2	1	1484.80837524
289.110228	4.0176116200001	1	18	test	BC	Face	6	1	1621.39937524
299.129042	4.01932361999992	1	19	test	AB	Face	5	0	2054.83837524
305.149626	4.01771261999995	1	20	test	AB	Face	1	1	1543.30237524
317.168779	4.01985562000005	1	21	test	BC	Face	7	1	1887.34437524
323.18977	4.01781861999992	1	22	test	AB	Face	3	1	1505.52337524
331.20895	4.01839161999995	1	23	test	BC	Face	8	1	2165.31537524
337.228817	4.01752062000002	1	24	test	AB	Face	7	1	2058.43937524
12.506677	4.0074208514	2	1	study	AB	Scene	6	1	NA
18.515528	4.0008578514	2	2	study	AB	Scene	7	0	NA
28.517864	4.00239685139999	2	3	study	AB	Scene	3	0	NA
34.521359	4.0011908514	2	4	study	AB	Scene	1	1	NA
44.523737	4.0026498514	2	5	study	AB	Scene	2	1	NA
50.527675	4.00100685099999	2	6	study	AB	Scene	4	1	NA
60.530063	4.002487851	2	7	study	AB	Scene	8	1	NA
66.53402	4.000821851	2	8	study	AB	Scene	5	1	NA
72.536463	4.000674851	2	9	study	BC	Scene	2	1	NA
82.538698	4.002309851	2	10	study	BC	Scene	3	0	NA
88.542333	4.00096785099998	2	11	study	BC	Scene	1	1	NA
100.544948	4.00297785099997	2	12	study	BC	Scene	6	1	NA
106.549296	4.00092985099999	2	13	study	BC	Scene	8	1	NA
112.551921	4.000591851	2	14	study	BC	Scene	7	0	NA
120.554068	4.00153585099999	2	15	study	BC	Scene	5	1	NA
128.556776	4.00191885099998	2	16	study	BC	Scene	4	1	NA
144.747327	4.01759885099999	2	1	test	AC	Scene	7	0	0
150.766167	4.017719851	2	2	test	AC	Scene	5	1	2953.14414856
160.785551	4.01883885099998	2	3	test	AC	Scene	3	0	2183.66314856
168.805874	4.018282851	2	4	test	AC	Scene	4	1	1961.52514856
174.827934	4.01520785099998	2	5	test	AC	Scene	6	1	3207.58614856
182.84447	4.01842185099999	2	6	test	AC	Scene	8	1	1779.38314856
188.8647	4.01718785099999	2	7	test	AC	Scene	2	1	3162.64414856
200.883004	4.02013385100002	2	8	test	AC	Scene	1	1	2037.43514856
208.904433	4.018472851	2	9	test	BC	Scene	8	1	1569.89614856
220.924327	4.01986185099999	2	10	test	BC	Scene	7	1	1867.07414856
228.945551	4.01837585099999	2	11	test	AB	Scene	7	1	1105.56514856
236.965174	4.01850885099999	2	12	test	AB	Scene	5	1	1662.25914856
242.985414	4.01726785100001	2	13	test	AB	Scene	2	1	2315.46014856
251.003924	4.01851185100002	2	14	test	BC	Scene	1	1	1922.61914856
263.023505	4.020214851	2	15	test	AB	Scene	1	1	1213.79114856
269.045009	4.01766885099997	2	16	test	AB	Scene	6	1	2331.79714856
277.063794	4.01864485099999	2	17	test	AB	Scene	8	1	1196.09314856
283.084061	4.01737085100001	2	18	test	BC	Scene	5	1	1880.16214856
295.102583	4.02014085100003	2	19	test	BC	Scene	4	1	1930.84314856
301.124038	4.01764185099996	2	20	test	BC	Scene	6	1	1573.65314856
309.143285	4.018149851	2	21	test	BC	Scene	2	1	2437.29314856
319.163041	4.01892985099996	2	22	test	AB	Scene	3	1	1598.19414856
331.183164	4.02006085100002	2	23	test	AB	Scene	4	1	1643.47414856
337.204447	4.01777585099998	2	24	test	BC	Scene	3	0	2403.54214856
16.526825	4.0038430603	3	1	study	AB	Face	5	1	NA
22.532105	4.0008610603	3	2	study	AB	Face	2	1	NA
30.534496	4.0015530603	3	3	study	AB	Face	3	1	NA
38.537342	4.00179106	3	4	study	AB	Face	6	0	NA
44.540489	4.00093206	3	5	study	AB	Face	8	0	NA
54.542665	4.00263206	3	6	study	AB	Face	4	1	NA
68.546621	4.00404906000001	3	7	study	AB	Face	1	1	NA
