block	trial	phase	pairtype	category	pairnum	fix_x_pos	fix_y_pos	fix_start_time	fix_end_time	fix_dwell_time	ia_side	ia_item_category	ia_item_type
2	1	study	AB	Scene	6	271.1	410.8	2226	2412	186	Left	Scene	Linking
2	1	study	AB	Scene	6	236.5	383.7	2445	2642	197	Left	Scene	Linking
2	1	study	AB	Scene	6	239.8	383	2656	2727	71	Left	Scene	Linking
2	1	study	AB	Scene	6	695.6	369.9	2791	3233	442	Right	Object	Unique
2	1	study	AB	Scene	6	719.7	339.1	3314	3416	102	Right	Object	Unique
2	1	study	AB	Scene	6	714.8	368.1	3624	3806	182	Right	Object	Unique
2	1	study	AB	Scene	6	282.7	408	3873	4097	224	Left	Scene	Linking
2	1	study	AB	Scene	6	263.4	383.7	4118	4583	465	Left	Scene	Linking
2	1	study	AB	Scene	6	177.1	434.8	4634	4823	189	Left	Scene	Linking
2	1	study	AB	Scene	6	168.4	406.7	4840	5026	186	Left	Scene	Linking
2	2	study	AB	Scene	7	216.1	355	1975	2173	198	Left	Object	Unique
2	2	study	AB	Scene	7	759.5	378.5	2227	2567	340	Right	Scene	Linking
2	2	study	AB	Scene	7	723.7	406	2588	2817	229	Right	Scene	Linking
2	2	study	AB	Scene	7	669.3	364	2853	3157	304	Right	Scene	Linking
2	2	study	AB	Scene	7	252.2	356.2	3220	3543	323	Left	Object	Unique
2	2	study	AB	Scene	7	292.7	391.3	4175	4454	279	Left	Object	Unique
2	3	study	AB	Scene	3	735.7	334.2	5987	6159	172	Right	Object	Unique
2	3	study	AB	Scene	3	300.3	366.8	6215	6393	178	Left	Scene	Linking
2	3	study	AB	Scene	3	215.4	348.2	6439	6510	71	Left	Scene	Linking
2	3	study	AB	Scene	3	213.7	352.5	6556	6699	143	Left	Scene	Linking
2	3	study	AB	Scene	3	177.4	361	6722	6914	192	Left	Scene	Linking
2	3	study	AB	Scene	3	154	318	6954	7098	144	Left	Scene	Linking
2	3	study	AB	Scene	3	712.7	330.3	7166	7492	326	Right	Object	Unique
2	3	study	AB	Scene	3	744	401.4	7517	7797	280	Right	Object	Unique
2	3	study	AB	Scene	3	724	399.9	7806	8019	213	Right	Object	Unique
2	4	study	AB	Scene	1	269.3	379.7	1994	2171	177	Left	Object	Unique
2	4	study	AB	Scene	1	786.4	382.9	2228	2517	289	Right	Scene	Linking
2	4	study	AB	Scene	1	805.2	349.7	2532	2873	341	Right	Scene	Linking
2	4	study	AB	Scene	1	741.3	348.6	4619	4683	64	Right	Scene	Linking
2	5	study	AB	Scene	2	258.6	395.6	6267	6619	352	Left	Scene	Linking
2	5	study	AB	Scene	2	281	378.5	6664	6852	188	Left	Scene	Linking
2	5	study	AB	Scene	2	196.7	373.5	6900	7017	117	Left	Scene	Linking
2	5	study	AB	Scene	2	193.9	376	7023	7204	181	Left	Scene	Linking
2	5	study	AB	Scene	2	772.2	360.8	7887	8289	402	Right	Object	Unique
2	6	study	AB	Scene	4	257.4	378.7	1979	2219	240	Left	Object	Unique
2	6	study	AB	Scene	4	761.6	383.3	2285	2710	425	Right	Scene	Linking
2	6	study	AB	Scene	4	852.2	391.1	2733	2925	192	Right	Scene	Linking
2	6	study	AB	Scene	4	313.5	390.5	2988	3167	179	Left	Object	Unique
2	6	study	AB	Scene	4	736	394.2	3677	3892	215	Right	Scene	Linking
2	6	study	AB	Scene	4	247.6	443.9	4478	4691	213	Left	Object	Unique
2	7	study	AB	Scene	8	263.7	413.1	6005	6306	301	Left	Scene	Linking
2	7	study	AB	Scene	8	228.9	404	6321	6424	103	Left	Scene	Linking
2	7	study	AB	Scene	8	789.4	347.1	6476	6751	275	Right	Object	Unique
2	7	study	AB	Scene	8	838.7	327.8	6772	7063	291	Right	Object	Unique
2	7	study	AB	Scene	8	868	311.5	7079	7234	155	Right	Object	Unique
2	7	study	AB	Scene	8	239.1	422.6	7294	7552	258	Left	Scene	Linking
2	7	study	AB	Scene	8	232.5	437.7	7857	8024	167	Left	Scene	Linking
2	7	study	AB	Scene	8	257.7	348	8070	8137	67	Left	Scene	Linking
2	7	study	AB	Scene	8	254.6	364.8	8204	8358	154	Left	Scene	Linking
2	7	study	AB	Scene	8	688.7	370.1	8422	8692	270	Right	Object	Unique
2	8	study	AB	Scene	5	249.3	358	1980	2111	131	Left	Object	Unique
2	8	study	AB	Scene	5	246.2	360.1	2128	2218	90	Left	Object	Unique
2	8	study	AB	Scene	5	802.3	366.1	2289	2641	352	Right	Scene	Linking
2	8	study	AB	Scene	5	791.3	397.6	2657	2868	211	Right	Scene	Linking
2	8	study	AB	Scene	5	285.4	373.5	2928	3127	199	Left	Object	Unique
2	8	study	AB	Scene	5	228.8	346.2	3167	3434	267	Left	Object	Unique
2	8	study	AB	Scene	5	238.2	331.8	3456	3842	386	Left	Object	Unique
2	8	study	AB	Scene	5	231.5	329.8	3850	4244	394	Left	Object	Unique
2	8	study	AB	Scene	5	695.8	466.1	4533	4680	147	Right	Scene	Linking
2	9	study	BC	Scene	2	252.7	378.9	2015	2073	58	Left	Object	Unique
2	9	study	BC	Scene	2	254.5	380.8	2090	2196	106	Left	Object	Unique
2	9	study	BC	Scene	2	243.6	319.5	2255	2331	76	Left	Object	Unique
2	9	study	BC	Scene	2	801.6	367.8	2399	2854	455	Right	Scene	Linking
2	9	study	BC	Scene	2	260.7	369.9	2916	2991	75	Left	Object	Unique
2	9	study	BC	Scene	2	258	364.5	2998	3118	120	Left	Object	Unique
2	9	study	BC	Scene	2	217.8	429.4	3158	3504	346	Left	Object	Unique
2	9	study	BC	Scene	2	292.8	434.4	3541	3757	216	Left	Object	Unique
2	9	study	BC	Scene	2	248.6	309.7	3793	4130	337	Left	Object	Unique
2	9	study	BC	Scene	2	300.4	429.3	4154	4444	290	Left	Object	Unique
2	9	study	BC	Scene	2	300	425	4450	4699	249	Left	Object	Unique
2	10	study	BC	Scene	3	262.4	390.7	6053	6206	153	Left	Object	Unique
2	10	study	BC	Scene	3	816.4	359.8	6261	6637	376	Right	Scene	Linking
2	10	study	BC	Scene	3	802.4	363.1	6650	6851	201	Right	Scene	Linking
2	10	study	BC	Scene	3	322.4	384.4	6909	7106	197	Left	Object	Unique
2	10	study	BC	Scene	3	261.7	429.7	7396	7596	200	Left	Object	Unique
2	10	study	BC	Scene	3	267.8	352.6	7643	7673	30	Left	Object	Unique
2	10	study	BC	Scene	3	268.2	361.1	7679	7783	104	Left	Object	Unique
2	10	study	BC	Scene	3	295.8	478.7	8394	8551	157	Left	Object	Unique
2	11	study	BC	Scene	1	254.1	358.3	1979	2038	59	Left	Scene	Linking
2	11	study	BC	Scene	1	256.6	359.8	2055	2132	77	Left	Scene	Linking
2	11	study	BC	Scene	1	257	361.9	2156	2299	143	Left	Scene	Linking
2	11	study	BC	Scene	1	699.3	398.8	2366	2745	379	Right	Object	Unique
2	11	study	BC	Scene	1	237.6	354.8	2829	2970	141	Left	Scene	Linking
2	11	study	BC	Scene	1	770.7	381.8	3034	3225	191	Right	Object	Unique
2	11	study	BC	Scene	1	699.5	400.9	3250	3536	286	Right	Object	Unique
2	11	study	BC	Scene	1	675.8	395.9	3545	4115	570	Right	Object	Unique
2	12	study	BC	Scene	6	281.7	319.4	7988	8160	172	Left	Object	Unique
2	12	study	BC	Scene	6	277.2	331.3	8208	8321	113	Left	Object	Unique
2	12	study	BC	Scene	6	807.9	331.9	8386	8910	524	Right	Scene	Linking
2	12	study	BC	Scene	6	773.9	351	8928	9178	250	Right	Scene	Linking
2	12	study	BC	Scene	6	254.6	308.1	9264	9450	186	Left	Object	Unique
2	12	study	BC	Scene	6	254.7	309.5	9477	9513	36	Left	Object	Unique
2	12	study	BC	Scene	6	250.3	389.2	9546	9987	441	Left	Object	Unique
2	12	study	BC	Scene	6	248.1	296.6	10031	10316	285	Left	Object	Unique
2	12	study	BC	Scene	6	254.9	456.9	10344	10603	259	Left	Object	Unique
2	12	study	BC	Scene	6	245.9	401.5	10660	10731	71	Left	Object	Unique
2	13	study	BC	Scene	8	264.1	380.2	1978	2378	400	Left	Object	Unique
2	13	study	BC	Scene	8	228.1	485.6	2408	2695	287	Left	Object	Unique
2	13	study	BC	Scene	8	255.2	347.1	2778	2853	75	Left	Object	Unique
2	13	study	BC	Scene	8	253	343	2868	2951	83	Left	Object	Unique
2	13	study	BC	Scene	8	236.5	319.8	2986	3172	186	Left	Object	Unique
2	13	study	BC	Scene	8	240.3	303.6	3178	3430	252	Left	Object	Unique
2	13	study	BC	Scene	8	237.3	511.9	3586	3968	382	Left	Object	Unique
2	13	study	BC	Scene	8	256.4	495.5	4010	4135	125	Left	Object	Unique
2	13	study	BC	Scene	8	754.3	425.7	4189	4482	293	Right	Scene	Linking
2	13	study	BC	Scene	8	711	423.7	4504	4677	173	Right	Scene	Linking
2	14	study	BC	Scene	7	325.4	406.6	1952	2133	181	Left	Scene	Linking
2	14	study	BC	Scene	7	223.3	421.8	2157	2347	190	Left	Scene	Linking
2	14	study	BC	Scene	7	799.1	402.3	2422	2637	215	Right	Object	Unique
2	14	study	BC	Scene	7	765.5	402.6	2656	2945	289	Right	Object	Unique
2	14	study	BC	Scene	7	846.9	331.3	2967	3242	275	Right	Object	Unique
2	14	study	BC	Scene	7	289.1	411.4	3285	3508	223	Left	Scene	Linking
2	14	study	BC	Scene	7	292.2	412.8	3520	3580	60	Left	Scene	Linking
2	14	study	BC	Scene	7	224.4	399.5	3610	4001	391	Left	Scene	Linking
2	15	study	BC	Scene	5	367.6	422.5	4045	4091	46	Left	Scene	Linking
2	15	study	BC	Scene	5	247.9	447.1	4128	4321	193	Left	Scene	Linking
2	15	study	BC	Scene	5	744.9	401.6	4379	4651	272	Right	Object	Unique
2	15	study	BC	Scene	5	728.2	380.3	4666	4867	201	Right	Object	Unique
2	15	study	BC	Scene	5	804.7	454.5	4893	5201	308	Right	Object	Unique
2	15	study	BC	Scene	5	701.8	357.9	5241	6140	899	Right	Object	Unique
2	15	study	BC	Scene	5	673.1	433	6164	6432	268	Right	Object	Unique
2	15	study	BC	Scene	5	283.7	443.7	6474	6683	209	Left	Scene	Linking
2	16	study	BC	Scene	4	245.2	439.9	3990	4023	33	Left	Scene	Linking
2	16	study	BC	Scene	4	244.6	440.9	4035	4258	223	Left	Scene	Linking
2	16	study	BC	Scene	4	786.2	344.5	4328	4739	411	Right	Object	Unique
2	16	study	BC	Scene	4	794.3	423	4760	4811	51	Right	Object	Unique
2	16	study	BC	Scene	4	252.7	450.5	4877	5150	273	Left	Scene	Linking
2	16	study	BC	Scene	4	303.7	460.3	5763	5960	197	Left	Scene	Linking
3	1	study	AB	Face	5	287.1	392.3	6306	6605	299	Left	Object	Unique
3	1	study	AB	Face	5	782.7	376.5	6673	6750	77	Right	Face	Linking
3	1	study	AB	Face	5	279	311.5	6820	7065	245	Left	Object	Unique
3	1	study	AB	Face	5	764.6	392.7	7130	7340	210	Right	Face	Linking
3	1	study	AB	Face	5	763.5	387.2	7356	7457	101	Right	Face	Linking
3	1	study	AB	Face	5	249.8	354.4	8191	8369	178	Left	Object	Unique
3	1	study	AB	Face	5	275.1	408.1	8388	8611	223	Left	Object	Unique
3	1	study	AB	Face	5	726.4	410.9	8667	8983	316	Right	Face	Linking
3	2	study	AB	Face	2	251.8	374.5	1976	2084	108	Left	Face	Linking
3	2	study	AB	Face	2	748	336.1	2151	2418	267	Right	Object	Unique
3	2	study	AB	Face	2	763	293.8	2425	3178	753	Right	Object	Unique
3	2	study	AB	Face	2	720.5	293.6	3201	3319	118	Right	Object	Unique
3	2	study	AB	Face	2	283.9	385.8	3417	3695	278	Left	Face	Linking
3	2	study	AB	Face	2	285	385.5	3736	3876	140	Left	Face	Linking
3	3	study	AB	Face	3	800.8	351.5	3958	4067	109	Right	Face	Linking
3	3	study	AB	Face	3	305.3	385.8	4121	4273	152	Left	Object	Unique
3	3	study	AB	Face	3	250.7	380.1	4296	4557	261	Left	Object	Unique
3	3	study	AB	Face	3	278.2	363	4590	4755	165	Left	Object	Unique
3	3	study	AB	Face	3	358.7	388.7	4779	5201	422	Left	Object	Unique
3	3	study	AB	Face	3	768.9	352.8	5254	5467	213	Right	Face	Linking
3	3	study	AB	Face	3	805.4	354.4	5483	5909	426	Right	Face	Linking
3	3	study	AB	Face	3	826.6	364.4	6568	6687	119	Right	Face	Linking
3	4	study	AB	Face	6	279	392.5	3978	4277	299	Left	Object	Unique
3	4	study	AB	Face	6	291.1	363.5	4298	4341	43	Left	Object	Unique
3	4	study	AB	Face	6	292.1	361.5	4377	4405	28	Left	Object	Unique
3	4	study	AB	Face	6	257.8	322.5	4423	4494	71	Left	Object	Unique
3	4	study	AB	Face	6	259.4	320.7	4505	4647	142	Left	Object	Unique
3	4	study	AB	Face	6	781.2	357.1	4727	5077	350	Right	Face	Linking
3	4	study	AB	Face	6	818.6	357.1	5085	5254	169	Right	Face	Linking
3	4	study	AB	Face	6	388.8	472.9	5302	5524	222	Left	Object	Unique
3	4	study	AB	Face	6	312.8	407.1	6290	6487	197	Left	Object	Unique
3	4	study	AB	Face	6	300.8	324.4	6532	6665	133	Left	Object	Unique
3	5	study	AB	Face	8	287.8	383.2	1894	2096	202	Left	Face	Linking
3	5	study	AB	Face	8	752.9	375.4	2158	2612	454	Right	Object	Unique
3	5	study	AB	Face	8	276.2	388.7	2678	2892	214	Left	Face	Linking
3	5	study	AB	Face	8	266	387.5	2904	3237	333	Left	Face	Linking
3	5	study	AB	Face	8	293.2	390.6	3260	3436	176	Left	Face	Linking
3	5	study	AB	Face	8	722.3	390.6	4111	4574	463	Right	Object	Unique
3	5	study	AB	Face	8	282.8	389	4634	4696	62	Left	Face	Linking
3	6	study	AB	Face	4	273.5	394.7	5967	6228	261	Left	Object	Unique
3	6	study	AB	Face	4	241.1	411.8	6236	6289	53	Left	Object	Unique
3	6	study	AB	Face	4	835.8	349.7	6358	6568	210	Right	Face	Linking
3	6	study	AB	Face	4	805.9	359	6577	7115	538	Right	Face	Linking
3	6	study	AB	Face	4	763.2	375.3	7133	7324	191	Right	Face	Linking
3	6	study	AB	Face	4	807.6	384.9	7341	7510	169	Right	Face	Linking
3	6	study	AB	Face	4	365.9	411.3	7555	7796	241	Left	Object	Unique
3	6	study	AB	Face	4	354.7	436.7	8212	8247	35	Left	Object	Unique
3	6	study	AB	Face	4	792.5	388.6	8302	8531	229	Right	Face	Linking
3	6	study	AB	Face	4	847.1	376.5	8545	8709	164	Right	Face	Linking
