block	trial	phase	pairtype	category	pairnum	fix_x_pos	fix_y_pos	fix_start_time	fix_end_time	fix_dwell_time	ia_side	ia_item_category	ia_item_type
1	1	study	AB	Face	6	347.2	529.5	2226	2439	213	Left	Face	Linking
1	1	study	AB	Face	6	289.9	512.6	2462	2885	423	Left	Face	Linking
1	1	study	AB	Face	6	779.1	364.7	2934	3322	388	Right	Object	Unique
1	1	study	AB	Face	6	322.4	517.2	3387	3842	455	Left	Face	Linking
1	2	study	AB	Face	2	318.1	376.8	1909	2266	357	Left	Face	Linking
1	2	study	AB	Face	2	831.5	257.7	2323	2611	288	Right	Object	Unique
1	2	study	AB	Face	2	803.7	250.5	2629	2732	103	Right	Object	Unique
1	2	study	AB	Face	2	297.2	372.5	2801	3307	506	Left	Face	Linking
1	2	study	AB	Face	2	800.2	380.8	3572	3592	20	Right	Object	Unique
1	2	study	AB	Face	2	802.9	387	3623	3674	51	Right	Object	Unique
1	2	study	AB	Face	2	805.3	395.3	3699	3720	21	Right	Object	Unique
1	2	study	AB	Face	2	324	403.9	3790	4219	429	Left	Face	Linking
1	2	study	AB	Face	2	330.7	398.3	4235	4661	426	Left	Face	Linking
1	3	study	AB	Face	1	290.6	400.4	6002	6342	340	Left	Object	Unique
1	3	study	AB	Face	1	803.4	301.6	6395	6792	397	Right	Face	Linking
1	3	study	AB	Face	1	813.4	426.7	6995	7068	73	Right	Face	Linking
1	3	study	AB	Face	1	813.3	431	7091	7111	20	Right	Face	Linking
1	3	study	AB	Face	1	306	392.3	7227	7467	240	Left	Object	Unique
1	3	study	AB	Face	1	224	399.5	7502	7994	492	Left	Object	Unique
1	3	study	AB	Face	1	202.1	410.9	8015	8365	350	Left	Object	Unique
1	3	study	AB	Face	1	837.2	305.1	8420	8693	273	Right	Face	Linking
1	4	study	AB	Face	4	315.8	403.8	1946	2351	405	Left	Face	Linking
1	4	study	AB	Face	4	828.8	273.4	2399	2861	462	Right	Object	Unique
1	4	study	AB	Face	4	302.3	377.3	2934	4673	1739	Left	Face	Linking
1	5	study	AB	Face	3	320.2	406.4	5941	6349	408	Left	Face	Linking
1	5	study	AB	Face	3	810.7	300.5	6480	6869	389	Right	Object	Unique
1	5	study	AB	Face	3	805.8	410.1	6974	6995	21	Right	Object	Unique
1	5	study	AB	Face	3	329	368.9	7095	7260	165	Left	Face	Linking
1	5	study	AB	Face	3	289.6	361.9	7289	7687	398	Left	Face	Linking
1	5	study	AB	Face	3	837.6	317.2	7756	7937	181	Right	Object	Unique
1	5	study	AB	Face	3	289	387.9	8065	8720	655	Left	Face	Linking
1	6	study	AB	Face	8	290	325.8	1934	2108	174	Left	Object	Unique
1	6	study	AB	Face	8	821.5	419.6	2213	2249	36	Right	Face	Linking
1	6	study	AB	Face	8	838.8	328	2404	2427	23	Right	Face	Linking
1	6	study	AB	Face	8	837.3	326.3	2462	2499	37	Right	Face	Linking
1	6	study	AB	Face	8	301.9	331.8	2726	3198	472	Left	Object	Unique
1	6	study	AB	Face	8	303.6	444.2	3237	3727	490	Left	Object	Unique
1	7	study	AB	Face	5	307.2	352	5879	6173	294	Left	Object	Unique
1	7	study	AB	Face	5	237.4	359	6192	6437	245	Left	Object	Unique
1	7	study	AB	Face	5	236.7	429.1	7017	7609	592	Left	Object	Unique
1	7	study	AB	Face	5	803.2	357.6	8255	8277	22	Right	Face	Linking
1	7	study	AB	Face	5	788.4	442.8	8508	8623	115	Right	Face	Linking
1	8	study	AB	Face	7	322.7	410	1914	2147	233	Left	Object	Unique
1	8	study	AB	Face	7	274.5	429.3	2179	2342	163	Left	Object	Unique
1	8	study	AB	Face	7	753.9	312.6	2390	2773	383	Right	Face	Linking
1	8	study	AB	Face	7	321.7	345.8	2830	3017	187	Left	Object	Unique
1	8	study	AB	Face	7	214.3	407.4	3055	3554	499	Left	Object	Unique
1	8	study	AB	Face	7	815.2	333.7	3624	3780	156	Right	Face	Linking
1	8	study	AB	Face	7	778.6	460.7	3974	4628	654	Right	Face	Linking
