"Participant"	"ExperimentPhase"	"Category"	"TestType"	"PairType"	"Accuracy"	"Hemisphere"	"Area"	"ROIGroup"	"ROISize"	"Beta"
"sub-1034"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Ant Hipp Head"	"HC"	62	-0.692400822580645
"sub-1034"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"CA1"	"HC"	147	-2.80658982312925
"sub-1034"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Sub"	"HC"	194	-6.14542148969072
"sub-1034"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"CA23DG"	"HC"	297	-7.46283914141414
"sub-1034"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"Hipp Tail"	"HC"	95	2.26651418947368
"sub-1034"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"PHC"	"MTL"	683	-5.63287293850659
"sub-1034"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"alERC"	"MTL"	113	1.18864610619469
"sub-1034"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"PRC"	"MTL"	613	0.0471341239804242
"sub-1034"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"pmERC"	"MTL"	85	-7.00566047058824
"sub-1034"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"CA1"	"HC"	140	-3.44998645
"sub-1034"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Hipp Tail"	"HC"	87	-6.88754816091954
"sub-1034"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Sub"	"HC"	157	-5.75715068152866
"sub-1034"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"CA23DG"	"HC"	252	-1.71526208333333
"sub-1034"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"PRC"	"MTL"	1054	-1.42819615559772
"sub-1034"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"alERC"	"MTL"	82	-2.88714969512195
"sub-1034"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"PHC"	"MTL"	705	-2.57786361702128
"sub-1034"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"pmERC"	"MTL"	69	-6.09208755072464
"sub-1034"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"Ant Hipp Head"	"HC"	119	1.6336171092437
"sub-1034"	"study"	"face"	"study"	"AB"	"Forgotten"	"Right"	"FFA"	"LocCat"	808	27.465378279703
"sub-1034"	"study"	"face"	"study"	"AB"	"Forgotten"	"Left"	"FFA"	"LocCat"	364	13.1972286291209
