block	trial	phase	pairtype	category	pairnum	fix_x_pos	fix_y_pos	fix_start_time	fix_end_time	fix_dwell_time	ia_side	ia_item_category	ia_item_type
1	1	study	AB	Scene	7	273.8	359.7	8450	8663	213	Left	Scene	Linking
1	1	study	AB	Scene	7	240.3	350.7	8682	9494	812	Left	Scene	Linking
1	1	study	AB	Scene	7	861.3	356.4	9550	9741	191	Right	Object	Unique
1	1	study	AB	Scene	7	804.3	340.9	9762	10125	363	Right	Object	Unique
1	1	study	AB	Scene	7	823.6	421.3	10148	10544	396	Right	Object	Unique
1	1	study	AB	Scene	7	338.5	392.5	10604	11026	422	Left	Scene	Linking
1	2	study	AB	Scene	1	286.4	326.6	8001	8239	238	Left	Object	Unique
1	2	study	AB	Scene	1	834.1	337.9	8295	9394	1099	Right	Scene	Linking
1	2	study	AB	Scene	1	307.5	305.8	9453	10007	554	Left	Object	Unique
1	2	study	AB	Scene	1	368.7	320.3	10028	10697	669	Left	Object	Unique
1	3	study	AB	Scene	4	261.3	319.7	2033	2255	222	Left	Object	Unique
1	3	study	AB	Scene	4	747.6	372.5	2297	2846	549	Right	Scene	Linking
1	3	study	AB	Scene	4	725.8	393.7	2868	3691	823	Right	Scene	Linking
1	3	study	AB	Scene	4	299.5	327	3744	4135	391	Left	Object	Unique
1	3	study	AB	Scene	4	397.5	396	4159	4555	396	Left	Object	Unique
1	3	study	AB	Scene	4	375	352.9	4568	4707	139	Left	Object	Unique
1	4	study	AB	Scene	8	277.2	380.3	4059	4413	354	Left	Scene	Linking
1	4	study	AB	Scene	8	323.8	430.3	4433	4762	329	Left	Scene	Linking
1	4	study	AB	Scene	8	834.1	404.2	4818	5210	392	Right	Object	Unique
1	4	study	AB	Scene	8	808.4	359.7	5230	5632	402	Right	Object	Unique
1	4	study	AB	Scene	8	810.1	328.9	5645	6015	370	Right	Object	Unique
1	4	study	AB	Scene	8	335.2	409.1	6378	6697	319	Left	Scene	Linking
1	5	study	AB	Scene	5	247	355.3	5986	6336	350	Left	Scene	Linking
1	5	study	AB	Scene	5	785.2	350	6379	6793	414	Right	Object	Unique
1	5	study	AB	Scene	5	820.8	329.6	6810	7090	280	Right	Object	Unique
1	5	study	AB	Scene	5	795	413	7131	7268	137	Right	Object	Unique
1	5	study	AB	Scene	5	305.9	358.4	7313	8697	1384	Left	Scene	Linking
1	6	study	AB	Scene	6	265.5	340.9	2158	2468	310	Left	Scene	Linking
1	6	study	AB	Scene	6	815.9	385.9	2509	3252	743	Right	Object	Unique
1	6	study	AB	Scene	6	279.2	365	3307	3904	597	Left	Scene	Linking
1	6	study	AB	Scene	6	852	373.2	3953	4136	183	Right	Object	Unique
1	6	study	AB	Scene	6	253.4	378.5	4185	4706	521	Left	Scene	Linking
1	7	study	AB	Scene	3	254.9	335.6	4210	4541	331	Left	Object	Unique
1	7	study	AB	Scene	3	786.2	362.3	4595	5218	623	Right	Scene	Linking
1	7	study	AB	Scene	3	243.4	337.6	5265	5639	374	Left	Object	Unique
1	7	study	AB	Scene	3	635.4	374.3	5690	6255	565	Right	Scene	Linking
1	8	study	AB	Scene	2	242.5	351.6	8018	8256	238	Left	Object	Unique
1	8	study	AB	Scene	2	826.1	369.7	8410	9243	833	Right	Scene	Linking
1	8	study	AB	Scene	2	790.7	352.7	9260	9653	393	Right	Scene	Linking
1	8	study	AB	Scene	2	232	345.7	9711	10304	593	Left	Object	Unique
1	8	study	AB	Scene	2	300.3	493	10346	10526	180	Left	Object	Unique
1	9	study	BC	Scene	3	367	384.8	2035	2270	235	Left	Scene	Linking
1	9	study	BC	Scene	3	227.1	352.3	2294	2461	167	Left	Scene	Linking
1	9	study	BC	Scene	3	755.1	385.1	2504	2987	483	Right	Object	Unique
1	9	study	BC	Scene	3	235.7	340.2	3043	3862	819	Left	Scene	Linking
1	9	study	BC	Scene	3	753.6	338.3	4163	4559	396	Right	Object	Unique
1	9	study	BC	Scene	3	301.8	324.8	4603	4706	103	Left	Scene	Linking
1	10	study	BC	Scene	5	258.3	363.1	6035	6204	169	Left	Object	Unique
1	10	study	BC	Scene	5	791.2	384.1	6255	7243	988	Right	Scene	Linking
1	10	study	BC	Scene	5	303.7	320.4	7565	8131	566	Left	Object	Unique
1	11	study	BC	Scene	6	256.4	346.6	2032	2251	219	Left	Object	Unique
1	11	study	BC	Scene	6	259.4	357.3	2258	2295	37	Left	Object	Unique
1	11	study	BC	Scene	6	644.8	403.7	2544	3941	1397	Right	Scene	Linking
1	11	study	BC	Scene	6	759.9	390.2	3966	4579	613	Right	Scene	Linking
1	11	study	BC	Scene	6	758.1	394.1	4591	4643	52	Right	Scene	Linking
1	11	study	BC	Scene	6	760	419.9	4696	4710	14	Right	Scene	Linking
1	12	study	BC	Scene	4	289.8	378.8	4081	4424	343	Left	Scene	Linking
1	12	study	BC	Scene	4	770.5	360.4	4477	5023	546	Right	Object	Unique
1	12	study	BC	Scene	4	288.1	372.7	5073	5881	808	Left	Scene	Linking
1	12	study	BC	Scene	4	342.5	379.1	5899	6149	250	Left	Scene	Linking
1	12	study	BC	Scene	4	760.7	352.6	6193	6585	392	Right	Object	Unique
1	13	study	BC	Scene	1	352	362.9	2045	2314	269	Left	Scene	Linking
1	13	study	BC	Scene	1	752.3	376.6	2474	2993	519	Right	Object	Unique
1	13	study	BC	Scene	1	277.2	348.6	3045	3458	413	Left	Scene	Linking
1	13	study	BC	Scene	1	670.1	387.4	3673	4495	822	Right	Object	Unique
1	13	study	BC	Scene	1	759.5	363.3	4522	4726	204	Right	Object	Unique
1	14	study	BC	Scene	8	233.5	360.9	4311	4722	411	Left	Object	Unique
1	14	study	BC	Scene	8	812.9	392.5	4783	6305	1522	Right	Scene	Linking
1	14	study	BC	Scene	8	327.7	349.7	6354	6721	367	Left	Object	Unique
1	15	study	BC	Scene	7	735.5	387.5	2333	3193	860	Right	Scene	Linking
1	15	study	BC	Scene	7	248.3	356	3247	3398	151	Left	Object	Unique
1	15	study	BC	Scene	7	847.1	375.3	3446	3641	195	Right	Scene	Linking
1	15	study	BC	Scene	7	799	376.7	3665	4705	1040	Right	Scene	Linking
1	16	study	BC	Scene	2	259	372.3	4815	5109	294	Left	Scene	Linking
1	16	study	BC	Scene	2	805.8	352	5165	5581	416	Right	Object	Unique
1	16	study	BC	Scene	2	263.7	329	5636	6089	453	Left	Scene	Linking
1	16	study	BC	Scene	2	293.1	335.1	6101	6660	559	Left	Scene	Linking
1	16	study	BC	Scene	2	784.5	335.9	6713	6717	4	Right	Object	Unique
2	1	study	AB	Face	6	201.1	355.9	2284	2731	447	Left	Face	Linking
2	1	study	AB	Face	6	697.3	354.2	2781	3079	298	Right	Object	Unique
2	1	study	AB	Face	6	752.2	388.9	3099	4523	1424	Right	Object	Unique
2	1	study	AB	Face	6	266.8	409.1	4575	4948	373	Left	Face	Linking
2	1	study	AB	Face	6	752.2	370.1	5000	5035	35	Right	Object	Unique
2	2	study	AB	Face	2	722.6	349.4	2182	2643	461	Right	Object	Unique
2	2	study	AB	Face	2	246.9	351.3	2689	3336	647	Left	Face	Linking
2	2	study	AB	Face	2	762.7	332.4	3391	3842	451	Right	Object	Unique
2	2	study	AB	Face	2	700.3	386.7	3866	4416	550	Right	Object	Unique
2	2	study	AB	Face	2	628	524	4453	4676	223	Right	Object	Unique
2	3	study	AB	Face	1	741.4	361.7	6099	6499	400	Right	Face	Linking
2	3	study	AB	Face	1	199.3	319.2	6547	6809	262	Left	Object	Unique
2	3	study	AB	Face	1	738.6	370.6	6861	7340	479	Right	Face	Linking
2	3	study	AB	Face	1	386	357.2	7552	8546	994	Left	Object	Unique
2	3	study	AB	Face	1	282.2	335.6	8580	8693	113	Left	Object	Unique
2	4	study	AB	Face	4	224.4	340.7	1996	2611	615	Left	Face	Linking
2	4	study	AB	Face	4	239.1	348.6	2629	2675	46	Left	Face	Linking
2	4	study	AB	Face	4	769.3	331.2	2729	3217	488	Right	Object	Unique
2	4	study	AB	Face	4	257.2	351	3268	3648	380	Left	Face	Linking
2	4	study	AB	Face	4	257.3	345	3878	4559	681	Left	Face	Linking
2	5	study	AB	Face	3	257	331.3	6116	6962	846	Left	Face	Linking
2	5	study	AB	Face	3	834.5	348.9	7013	7266	253	Right	Object	Unique
2	5	study	AB	Face	3	794.1	380.9	7306	8650	1344	Right	Object	Unique
2	5	study	AB	Face	3	753.8	416.3	8671	8704	33	Right	Object	Unique
2	6	study	AB	Face	8	730.7	417.2	2419	2637	218	Right	Face	Linking
