onset	duration	block	trial	phase	trialtype	category	pairnum	accuracy	test_RT
18.489691	3.99694498000002	1	1	study	AB	Scene	7	0	NA
30.488343	4.00283397999999	1	2	study	AB	Scene	1	1	NA
36.492221	4.00124697999996	1	3	study	AB	Scene	4	1	NA
44.494688	4.00181997999999	1	4	study	AB	Scene	8	1	NA
54.497526	4.00281797999989	1	5	study	AB	Scene	5	0	NA
60.501488	4.0011029800001	1	6	study	AB	Scene	6	0	NA
68.503821	4.00183098000009	1	7	study	AB	Scene	3	0	NA
80.506811	4.00340898000005	1	8	study	AB	Scene	2	0	NA
86.51146	4.00104998000008	1	9	study	BC	Scene	3	0	NA
96.513993	4.00231098000008	1	10	study	BC	Scene	5	0	NA
102.51759	4.00100297999996	1	11	study	BC	Scene	6	0	NA
110.519702	4.00193497999995	1	12	study	BC	Scene	4	1	NA
116.523447	4.00046498000009	1	13	study	BC	Scene	1	1	NA
124.525499	4.0014399800001	1	14	study	BC	Scene	8	1	NA
130.528135	4.00109198000004	1	15	study	BC	Scene	7	0	NA
138.530656	4.00162597999998	1	16	study	BC	Scene	2	0	NA
154.720747	4.01768097999992	1	1	test	AC	Scene	8	1	2312.63601787
166.74249	4.01718998000002	1	2	test	AC	Scene	5	0	2123.27101787
174.761156	4.01824598000009	1	3	test	AC	Scene	7	0	1953.58001787
180.780826	4.01751598000003	1	4	test	AC	Scene	1	1	2317.80201787
186.799768	4.01753698	1	5	test	AC	Scene	4	1	2153.70801787
194.818412	4.01860297999997	1	6	test	AC	Scene	6	0	1956.52601787
200.8383	4.01768497999996	1	7	test	AC	Scene	2	0	1808.04801787
206.857476	4.01745197999993	1	8	test	AC	Scene	3	0	2711.85701787
216.876205	4.01922198	1	9	test	BC	Scene	8	1	1650.48201787
222.8971	4.01728297999999	1	10	test	AB	Scene	5	0	2122.15201787
230.915584	4.01851098000005	1	11	test	BC	Scene	6	0	1951.65201787
236.936239	4.01681297999999	1	12	test	BC	Scene	1	1	1704.74001787
244.954191	4.01857197999989	1	13	test	AB	Scene	2	1	1702.34401787
254.974201	4.01901997999998	1	14	test	AB	Scene	8	1	1517.36501787
264.994707	4.01901097999996	1	15	test	BC	Scene	3	1	1932.82601787
