onset	duration	block	trial	phase	trialtype	category	pairnum	accuracy	test_RT
14.498817	4.00033798999995	1	1	study	AB	Face	2	1	NA
26.500266	4.00347798999999	1	2	study	AB	Face	1	0	NA
32.505133	4.00093798999992	1	3	study	AB	Face	4	0	NA
38.507548	4.00081899000001	1	4	study	AB	Face	8	1	NA
44.509461	4.00119698999997	1	5	study	AB	Face	5	0	NA
52.512122	4.00162298999992	1	6	study	AB	Face	3	1	NA
60.51509	4.00173299000002	1	7	study	AB	Face	6	0	NA
66.518695	4.00042398999998	1	8	study	AB	Face	7	0	NA
76.520724	4.00222399000001	1	9	study	BC	Face	8	1	NA
82.524262	4.00101899	1	10	study	BC	Face	7	0	NA
90.526384	4.00194298999997	1	11	study	BC	Face	5	0	NA
96.529751	4.00091198999998	1	12	study	BC	Face	2	1	NA
108.532162	4.00311699000002	1	13	study	BC	Face	4	0	NA
116.536709	4.00161899000002	1	14	study	BC	Face	3	1	NA
122.539442	4.00119598999996	1	15	study	BC	Face	1	0	NA
132.542099	4.00240198999998	1	16	study	BC	Face	6	0	NA
150.716588	4.01819498999999	1	1	test	AC	Face	6	0	3608.15601018
156.736463	4.01731998999999	1	2	test	AC	Face	5	0	0
168.75498	4.02009598999991	1	3	test	AC	Face	3	1	1867.69401018
174.776395	4.01764498999997	1	4	test	AC	Face	4	0	0
180.795296	4.01773598999993	1	5	test	AC	Face	7	0	0
190.814678	4.01886698999995	1	6	test	AC	Face	2	1	2036.26201018
198.83511	4.01817899000004	1	7	test	AC	Face	8	1	2230.62601018
204.854367	4.01787698999999	1	8	test	AC	Face	1	0	3461.03701018
214.873193	4.01958898999993	1	9	test	AB	Face	6	1	3246.92301018
220.89412	4.01762398999999	1	10	test	BC	Face	3	1	2223.49401018
232.913271	4.01976398999995	1	11	test	BC	Face	2	1	1704.42101018
238.934542	4.01748999000006	1	12	test	BC	Face	7	1	3107.36701018
248.953499	4.01904198999988	1	13	test	BC	Face	8	1	1732.78801018
254.974208	4.01730699000004	1	14	test	AB	Face	2	1	1068.64001018
266.992985	4.0197959899999	1	15	test	BC	Face	6	1	3462.68201018
275.013857	4.01867998999992	1	16	test	BC	Face	5	1	1538.97601018
281.034192	4.01734498999995	1	17	test	AB	Face	8	1	1699.74401018
295.052592	4.02098798999999	1	18	test	AB	Face	5	0	2889.43101018
301.075259	4.01731399	1	19	test	BC	Face	4	1	1519.98701018
309.093864	4.01842199	1	20	test	BC	Face	1	1	1380.72201018
319.113899	4.01893699000007	1	21	test	AB	Face	3	1	1517.90001018
325.134152	4.01763399	1	22	test	AB	Face	7	0	3074.39901018
331.153006	4.01777798999991	1	23	test	AB	Face	4	1	2550.53001018
337.172162	4.01757999	1	24	test	AB	Face	1	0	2745.40501018
