Participant	ExperimentPhase	Category	Hemisphere	Area	ROISize	Beta
sub-1024	localiser	face	Left	Ant Hipp Head	50	8.74398112
sub-1024	localiser	face	Left	CA1	154	4.84056064285714
sub-1024	localiser	face	Left	CA23DG	340	4.90947688823529
sub-1024	localiser	face	Left	Hipp Tail	39	5.82963333333333
sub-1024	localiser	face	Left	PHC	639	3.69570877777778
sub-1024	localiser	face	Left	PRC	1117	4.13685238495971
sub-1024	localiser	face	Left	Sub	111	6.06822098198198
sub-1024	localiser	face	Left	alERC	191	3.70429220942408
sub-1024	localiser	face	Left	pmERC	90	3.1181295
sub-1024	localiser	face	Right	Ant Hipp Head	94	8.10813534042553
sub-1024	localiser	face	Right	CA1	139	4.53521030215827
sub-1024	localiser	face	Right	CA23DG	338	5.21621255621302
sub-1024	localiser	face	Right	Hipp Tail	57	7.85329931578947
sub-1024	localiser	face	Right	PHC	617	4.44355143273906
sub-1024	localiser	face	Right	PRC	1107	6.09857808581752
sub-1024	localiser	face	Right	Sub	131	1.04193
sub-1024	localiser	face	Right	alERC	216	4.69334502314815
sub-1024	localiser	face	Right	pmERC	91	6.49132663736264
sub-1024	localiser	obj	Left	Ant Hipp Head	50	6.36424054
sub-1024	localiser	obj	Left	CA1	154	1.29083366883117
sub-1024	localiser	obj	Left	CA23DG	340	3.62671020294118
sub-1024	localiser	obj	Left	Hipp Tail	39	2.99384484615385
sub-1024	localiser	obj	Left	PHC	639	13.6982478122066
sub-1024	localiser	obj	Left	PRC	1117	4.51440218173679
sub-1024	localiser	obj	Left	Sub	111	3.77193764864865
sub-1024	localiser	obj	Left	alERC	191	7.79443778534031
sub-1024	localiser	obj	Left	pmERC	90	6.45895435555556
sub-1024	localiser	obj	Right	Ant Hipp Head	94	3.83593288297872
sub-1024	localiser	obj	Right	CA1	139	1.9567209352518
sub-1024	localiser	obj	Right	CA23DG	338	4.37223722189349
sub-1024	localiser	obj	Right	Hipp Tail	57	6.21834214035088
sub-1024	localiser	obj	Right	PHC	617	13.4862485786062
sub-1024	localiser	obj	Right	PRC	1107	3.73073594128275
sub-1024	localiser	obj	Right	Sub	131	-0.922643809160305
sub-1024	localiser	obj	Right	alERC	216	4.66919740277778
sub-1024	localiser	obj	Right	pmERC	91	3.68980049450549
sub-1024	localiser	scene	Left	Ant Hipp Head	50	4.99210908
sub-1024	localiser	scene	Left	CA1	154	2.55186205844156
sub-1024	localiser	scene	Left	CA23DG	340	5.69070672352941
sub-1024	localiser	scene	Left	Hipp Tail	39	3.20943776923077
sub-1024	localiser	scene	Left	PHC	639	21.086180256651
sub-1024	localiser	scene	Left	PRC	1117	4.32204717994628
sub-1024	localiser	scene	Left	Sub	111	1.86660014414414
sub-1024	localiser	scene	Left	alERC	191	6.36705354973822
sub-1024	localiser	scene	Left	pmERC	90	13.1160598111111
sub-1024	localiser	scene	Right	Ant Hipp Head	94	4.14834285106383
sub-1024	localiser	scene	Right	CA1	139	1.34575688489209
sub-1024	localiser	scene	Right	CA23DG	338	4.55547603550296
sub-1024	localiser	scene	Right	Hipp Tail	57	4.18706926315789
sub-1024	localiser	scene	Right	PHC	617	18.9929992220421
sub-1024	localiser	scene	Right	PRC	1107	3.39212196115628
sub-1024	localiser	scene	Right	Sub	131	0.281395259541985
sub-1024	localiser	scene	Right	alERC	216	4.96622762037037
sub-1024	localiser	scene	Right	pmERC	91	10.6341067252747
